Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:1791 ns
ClientComputationRerandomization: 133310459 ns
ClientServerCommunicationSendRootBucket: 1040178917 ns
ClientComputationGenTripletEvictPerms: 18417 ns
ClientServerCommunicationSendTripletEvictPerms: 3502542 ns
ClientComputationGenTripletEvictPerms: 27916 ns
ClientServerCommunicationSendTripletEvictPerms: 3129125 ns
ClientComputationGenTripletEvictPerms: 15292 ns
ClientServerCommunicationSendTripletEvictPerms: 3787250 ns
ClientComputationGenTripletEvictPerms: 31208 ns
ClientServerCommunicationSendTripletEvictPerms: 3102417 ns
ClientComputationGenTripletEvictPerms: 17833 ns
ClientServerCommunicationSendTripletEvictPerms: 3723667 ns
ClientComputationGenTripletEvictPerms: 6833 ns
ClientServerCommunicationSendTripletEvictPerms: 3806583 ns
ClientComputationGenTripletEvictPerms: 36833 ns
ClientServerCommunicationSendTripletEvictPerms: 3683083 ns
ClientComputationGenTripletEvictPerms: 13833 ns
ClientServerCommunicationSendTripletEvictPerms: 3649000 ns
ClientComputationGenTripletEvictPerms: 31084 ns
ClientServerCommunicationSendTripletEvictPerms: 4226792 ns
ClientComputationGenTripletEvictPerms: 34750 ns
ClientServerCommunicationSendTripletEvictPerms: 3787625 ns
ClientComputationGenTripletEvictPerms: 36666 ns
ClientServerCommunicationSendTripletEvictPerms: 3737667 ns
ClientComputationGenTripletEvictPerms: 53125 ns
ClientServerCommunicationSendTripletEvictPerms: 3697208 ns
ClientComputationGenTripletEvictPerms: 19167 ns
ClientServerCommunicationSendTripletEvictPerms: 3435541 ns
ClientComputationGenTripletEvictPerms: 12958 ns
ClientServerCommunicationSendTripletEvictPerms: 3882334 ns
ClientComputationGenTripletEvictPerms: 11708 ns
ClientServerCommunicationSendTripletEvictPerms: 3279083 ns
ClientComputationGenTripletEvictPerms: 11625 ns
ClientServerCommunicationSendTripletEvictPerms: 3681792 ns
ClientComputationGenTripletEvictPerms: 14625 ns
ClientServerCommunicationSendTripletEvictPerms: 3483916 ns
ClientComputationGenTripletEvictPerms: 29500 ns
ClientServerCommunicationSendTripletEvictPerms: 3202209 ns
ClientComputationGenTripletEvictPerms: 20416 ns
ClientServerCommunicationSendTripletEvictPerms: 3686667 ns
ClientComputationGenTripletEvictPerms: 10916 ns
ClientServerCommunicationSendTripletEvictPerms: 3638000 ns
ClientComputationGenTripletEvictPerms: 7083 ns
ClientServerCommunicationSendTripletEvictPerms: 3874625 ns
ClientComputationGenTripletEvictPerms: 28000 ns
ClientServerCommunicationSendTripletEvictPerms: 3295750 ns
ClientComputationGenTripletEvictPerms: 33333 ns
ClientServerCommunicationSendTripletEvictPerms: 3418375 ns
ClientComputationGenTripletEvictPerms: 15125 ns
ClientServerCommunicationSendTripletEvictPerms: 3735375 ns
ClientComputationGenTripletEvictPerms: 55583 ns
ClientServerCommunicationSendTripletEvictPerms: 3519958 ns
ClientComputationGenTripletEvictPerms: 49750 ns
ClientServerCommunicationSendTripletEvictPerms: 3896791 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:1250 ns
ClientComputationRerandomization: 85185791 ns
ClientServerCommunicationSendRootBucket: 1267979584 ns
ClientComputationGenTripletEvictPerms: 18584 ns
ClientServerCommunicationSendTripletEvictPerms: 6022208 ns
ClientComputationGenTripletEvictPerms: 27000 ns
ClientServerCommunicationSendTripletEvictPerms: 4702334 ns
ClientComputationGenTripletEvictPerms: 6834 ns
ClientServerCommunicationSendTripletEvictPerms: 3853625 ns
ClientComputationGenTripletEvictPerms: 53375 ns
ClientServerCommunicationSendTripletEvictPerms: 3205541 ns
ClientComputationGenTripletEvictPerms: 36042 ns
ClientServerCommunicationSendTripletEvictPerms: 4314250 ns
ClientComputationGenTripletEvictPerms: 7750 ns
ClientServerCommunicationSendTripletEvictPerms: 4027167 ns
ClientComputationGenTripletEvictPerms: 25084 ns
ClientServerCommunicationSendTripletEvictPerms: 3510166 ns
ClientComputationGenTripletEvictPerms: 58125 ns
ClientServerCommunicationSendTripletEvictPerms: 3389917 ns
ClientComputationGenTripletEvictPerms: 47667 ns
ClientServerCommunicationSendTripletEvictPerms: 3120833 ns
ClientComputationGenTripletEvictPerms: 34792 ns
ClientServerCommunicationSendTripletEvictPerms: 3713541 ns
ClientComputationGenTripletEvictPerms: 21041 ns
ClientServerCommunicationSendTripletEvictPerms: 3530291 ns
ClientComputationGenTripletEvictPerms: 19375 ns
ClientServerCommunicationSendTripletEvictPerms: 4106834 ns
ClientComputationGenTripletEvictPerms: 25333 ns
