Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:1208 ns
ClientComputationRerandomization: 86833167 ns
ClientServerCommunicationSendRootBucket: 975236543 ns
ClientComputationGenTripletEvictPerms: 9333 ns
ClientServerCommunicationSendTripletEvictPerms: 3842209 ns
ClientComputationGenTripletEvictPerms: 31584 ns
ClientServerCommunicationSendTripletEvictPerms: 4640167 ns
ClientComputationGenTripletEvictPerms: 28500 ns
ClientServerCommunicationSendTripletEvictPerms: 5096750 ns
ClientComputationGenTripletEvictPerms: 12000 ns
ClientServerCommunicationSendTripletEvictPerms: 4603625 ns
ClientComputationGenTripletEvictPerms: 34625 ns
ClientServerCommunicationSendTripletEvictPerms: 4468667 ns
ClientComputationGenTripletEvictPerms: 13500 ns
ClientServerCommunicationSendTripletEvictPerms: 4778334 ns
ClientComputationGenTripletEvictPerms: 31208 ns
ClientServerCommunicationSendTripletEvictPerms: 4459333 ns
ClientComputationGenTripletEvictPerms: 13541 ns
ClientServerCommunicationSendTripletEvictPerms: 4129917 ns
ClientComputationGenTripletEvictPerms: 26500 ns
ClientServerCommunicationSendTripletEvictPerms: 4474542 ns
ClientComputationGenTripletEvictPerms: 28292 ns
ClientServerCommunicationSendTripletEvictPerms: 5314250 ns
ClientComputationGenTripletEvictPerms: 26208 ns
ClientServerCommunicationSendTripletEvictPerms: 3675500 ns
ClientComputationGenTripletEvictPerms: 8958 ns
ClientServerCommunicationSendTripletEvictPerms: 5179666 ns
ClientComputationGenTripletEvictPerms: 43333 ns
ClientServerCommunicationSendTripletEvictPerms: 4464333 ns
ClientComputationGenTripletEvictPerms: 36375 ns
ClientServerCommunicationSendTripletEvictPerms: 5970459 ns
ClientComputationGenTripletEvictPerms: 34291 ns
ClientServerCommunicationSendTripletEvictPerms: 3972500 ns
ClientComputationGenTripletEvictPerms: 8250 ns
ClientServerCommunicationSendTripletEvictPerms: 4331083 ns
ClientComputationGenTripletEvictPerms: 29875 ns
ClientServerCommunicationSendTripletEvictPerms: 3941791 ns
ClientComputationGenTripletEvictPerms: 41334 ns
ClientServerCommunicationSendTripletEvictPerms: 4781666 ns
ClientComputationGenTripletEvictPerms: 32791 ns
ClientServerCommunicationSendTripletEvictPerms: 4808667 ns
ClientComputationGenTripletEvictPerms: 47584 ns
ClientServerCommunicationSendTripletEvictPerms: 4085209 ns
ClientComputationGenTripletEvictPerms: 42625 ns
ClientServerCommunicationSendTripletEvictPerms: 4379625 ns
ClientComputationGenTripletEvictPerms: 71709 ns
ClientServerCommunicationSendTripletEvictPerms: 3088208 ns
ClientComputationGenTripletEvictPerms: 32292 ns
ClientServerCommunicationSendTripletEvictPerms: 4612750 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:3542 ns
ClientComputationRerandomization: 104399667 ns
ClientServerCommunicationSendRootBucket: 1928367251 ns
ClientComputationGenTripletEvictPerms: 25250 ns
ClientServerCommunicationSendTripletEvictPerms: 4996250 ns
ClientComputationGenTripletEvictPerms: 49417 ns
ClientServerCommunicationSendTripletEvictPerms: 5099792 ns
ClientComputationGenTripletEvictPerms: 10792 ns
ClientServerCommunicationSendTripletEvictPerms: 5299541 ns
ClientComputationGenTripletEvictPerms: 12833 ns
ClientServerCommunicationSendTripletEvictPerms: 4318958 ns
ClientComputationGenTripletEvictPerms: 22417 ns
ClientServerCommunicationSendTripletEvictPerms: 4668625 ns
ClientComputationGenTripletEvictPerms: 33125 ns
ClientServerCommunicationSendTripletEvictPerms: 4864584 ns
ClientComputationGenTripletEvictPerms: 26875 ns
ClientServerCommunicationSendTripletEvictPerms: 4069958 ns
ClientComputationGenTripletEvictPerms: 17625 ns
ClientServerCommunicationSendTripletEvictPerms: 3774959 ns
ClientComputationGenTripletEvictPerms: 24750 ns
ClientServerCommunicationSendTripletEvictPerms: 3810125 ns
ClientComputationGenTripletEvictPerms: 33250 ns
ClientServerCommunicationSendTripletEvictPerms: 4147834 ns
ClientComputationGenTripletEvictPerms: 7750 ns
ClientServerCommunicationSendTripletEvictPerms: 5539167 ns
ClientComputationGenTripletEvictPerms: 19292 ns
ClientServerCommunicationSendTripletEvictPerms: 4960584 ns
ClientComputationGenTripletEvictPerms: 35542 ns
ClientServerCommunicationSendTripletEvictPerms: 5606875 ns
ClientComputationGenTripletEvictPerms: 31375 ns
ClientServerCommunicationSendTripletEvictPerms: 4263958 ns
ClientComputationGenTripletEvictPerms: 23750 ns
ClientServerCommunicationSendTripletEvictPerms: 4175625 ns
ClientComputationGenTripletEvictPerms: 34083 ns
