Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:2292 ns
ClientComputationRerandomization: 89159542 ns
ClientServerCommunicationSendRootBucket: 2068591376 ns
ClientComputationGenTripletEvictPerms: 39333 ns
ClientServerCommunicationSendTripletEvictPerms: 4049625 ns
ClientComputationGenTripletEvictPerms: 11500 ns
ClientServerCommunicationSendTripletEvictPerms: 5427750 ns
ClientComputationGenTripletEvictPerms: 50625 ns
ClientServerCommunicationSendTripletEvictPerms: 4797541 ns
ClientComputationGenTripletEvictPerms: 35375 ns
ClientServerCommunicationSendTripletEvictPerms: 4041875 ns
ClientComputationGenTripletEvictPerms: 14833 ns
ClientServerCommunicationSendTripletEvictPerms: 4689208 ns
ClientComputationGenTripletEvictPerms: 25750 ns
ClientServerCommunicationSendTripletEvictPerms: 4062458 ns
ClientComputationGenTripletEvictPerms: 197000 ns
ClientServerCommunicationSendTripletEvictPerms: 5368750 ns
ClientComputationGenTripletEvictPerms: 12416 ns
ClientServerCommunicationSendTripletEvictPerms: 4947292 ns
ClientComputationGenTripletEvictPerms: 22458 ns
ClientServerCommunicationSendTripletEvictPerms: 5572167 ns
ClientComputationGenTripletEvictPerms: 36125 ns
ClientServerCommunicationSendTripletEvictPerms: 6799042 ns
ClientComputationGenTripletEvictPerms: 34667 ns
ClientServerCommunicationSendTripletEvictPerms: 4295875 ns
ClientComputationGenTripletEvictPerms: 24375 ns
ClientServerCommunicationSendTripletEvictPerms: 4713833 ns
ClientComputationGenTripletEvictPerms: 28958 ns
ClientServerCommunicationSendTripletEvictPerms: 4149125 ns
ClientComputationGenTripletEvictPerms: 37459 ns
ClientServerCommunicationSendTripletEvictPerms: 4250208 ns
ClientComputationGenTripletEvictPerms: 24083 ns
ClientServerCommunicationSendTripletEvictPerms: 3941333 ns
ClientComputationGenTripletEvictPerms: 7792 ns
ClientServerCommunicationSendTripletEvictPerms: 4061375 ns
ClientComputationGenTripletEvictPerms: 17167 ns
ClientServerCommunicationSendTripletEvictPerms: 4054750 ns
ClientComputationGenTripletEvictPerms: 11500 ns
ClientServerCommunicationSendTripletEvictPerms: 4744334 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:2042 ns
ClientComputationRerandomization: 101878500 ns
ClientServerCommunicationSendRootBucket: 1962344876 ns
ClientComputationGenTripletEvictPerms: 16709 ns
ClientServerCommunicationSendTripletEvictPerms: 4450166 ns
ClientComputationGenTripletEvictPerms: 28584 ns
ClientServerCommunicationSendTripletEvictPerms: 4114583 ns
ClientComputationGenTripletEvictPerms: 14292 ns
ClientServerCommunicationSendTripletEvictPerms: 4373542 ns
ClientComputationGenTripletEvictPerms: 14041 ns
ClientServerCommunicationSendTripletEvictPerms: 5052625 ns
ClientComputationGenTripletEvictPerms: 25458 ns
ClientServerCommunicationSendTripletEvictPerms: 34525083 ns
ClientComputationGenTripletEvictPerms: 47875 ns
ClientServerCommunicationSendTripletEvictPerms: 5008041 ns
ClientComputationGenTripletEvictPerms: 35916 ns
ClientServerCommunicationSendTripletEvictPerms: 5383917 ns
ClientComputationGenTripletEvictPerms: 37542 ns
ClientServerCommunicationSendTripletEvictPerms: 6405083 ns
ClientComputationGenTripletEvictPerms: 68208 ns
ClientServerCommunicationSendTripletEvictPerms: 5042125 ns
ClientComputationGenTripletEvictPerms: 28042 ns
ClientServerCommunicationSendTripletEvictPerms: 5007750 ns
ClientComputationGenTripletEvictPerms: 8917 ns
ClientServerCommunicationSendTripletEvictPerms: 4092875 ns
ClientComputationGenTripletEvictPerms: 29375 ns
ClientServerCommunicationSendTripletEvictPerms: 3744292 ns
ClientComputationGenTripletEvictPerms: 28417 ns
ClientServerCommunicationSendTripletEvictPerms: 3928833 ns
ClientComputationGenTripletEvictPerms: 38333 ns
ClientServerCommunicationSendTripletEvictPerms: 4427917 ns
ClientComputationGenTripletEvictPerms: 40625 ns
ClientServerCommunicationSendTripletEvictPerms: 4632375 ns
ClientComputationGenTripletEvictPerms: 35542 ns
ClientServerCommunicationSendTripletEvictPerms: 4498833 ns
ClientComputationGenTripletEvictPerms: 67792 ns
ClientServerCommunicationSendTripletEvictPerms: 4871125 ns
ClientComputationGenTripletEvictPerms: 32500 ns
ClientServerCommunicationSendTripletEvictPerms: 4867708 ns
Iteration 2for warm up
ClientComputationUpdateMetaData:3500 ns
ClientComputationRerandomization: 98207333 ns
ClientServerCommunicationSendRootBucket: 1539600500 ns
ClientComputationGenTripletEvictPerms: 8500 ns
ClientServerCommunicationSendTripletEvictPerms: 4353666 ns
