Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:2334 ns
ClientComputationRerandomization: 93312208 ns
ClientServerCommunicationSendRootBucket: 1575249125 ns
ClientComputationGenTripletEvictPerms: 27000 ns
ClientServerCommunicationSendTripletEvictPerms: 4123167 ns
ClientComputationGenTripletEvictPerms: 23125 ns
ClientServerCommunicationSendTripletEvictPerms: 4571208 ns
ClientComputationGenTripletEvictPerms: 22375 ns
ClientServerCommunicationSendTripletEvictPerms: 4887333 ns
ClientComputationGenTripletEvictPerms: 39417 ns
ClientServerCommunicationSendTripletEvictPerms: 4985542 ns
ClientComputationGenTripletEvictPerms: 33708 ns
ClientServerCommunicationSendTripletEvictPerms: 3931083 ns
ClientComputationGenTripletEvictPerms: 71833 ns
ClientServerCommunicationSendTripletEvictPerms: 4524209 ns
ClientComputationGenTripletEvictPerms: 27875 ns
ClientServerCommunicationSendTripletEvictPerms: 5835500 ns
ClientComputationGenTripletEvictPerms: 21792 ns
ClientServerCommunicationSendTripletEvictPerms: 4861000 ns
ClientComputationGenTripletEvictPerms: 50958 ns
ClientServerCommunicationSendTripletEvictPerms: 4538291 ns
ClientComputationGenTripletEvictPerms: 18959 ns
ClientServerCommunicationSendTripletEvictPerms: 5463458 ns
ClientComputationGenTripletEvictPerms: 27417 ns
ClientServerCommunicationSendTripletEvictPerms: 4329875 ns
ClientComputationGenTripletEvictPerms: 31417 ns
ClientServerCommunicationSendTripletEvictPerms: 4571709 ns
ClientComputationGenTripletEvictPerms: 29667 ns
ClientServerCommunicationSendTripletEvictPerms: 4402292 ns
ClientComputationGenTripletEvictPerms: 32167 ns
ClientServerCommunicationSendTripletEvictPerms: 4938917 ns
ClientComputationGenTripletEvictPerms: 34291 ns
ClientServerCommunicationSendTripletEvictPerms: 3982416 ns
ClientComputationGenTripletEvictPerms: 33958 ns
ClientServerCommunicationSendTripletEvictPerms: 4102500 ns
ClientComputationGenTripletEvictPerms: 28292 ns
ClientServerCommunicationSendTripletEvictPerms: 4934583 ns
ClientComputationGenTripletEvictPerms: 8958 ns
ClientServerCommunicationSendTripletEvictPerms: 3564750 ns
ClientComputationGenTripletEvictPerms: 34916 ns
ClientServerCommunicationSendTripletEvictPerms: 4710291 ns
ClientComputationGenTripletEvictPerms: 33042 ns
ClientServerCommunicationSendTripletEvictPerms: 4820333 ns
ClientComputationGenTripletEvictPerms: 33291 ns
ClientServerCommunicationSendTripletEvictPerms: 4835125 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:1917 ns
ClientComputationRerandomization: 100281958 ns
ClientServerCommunicationSendRootBucket: 2131802543 ns
ClientComputationGenTripletEvictPerms: 15709 ns
ClientServerCommunicationSendTripletEvictPerms: 5827667 ns
ClientComputationGenTripletEvictPerms: 25792 ns
ClientServerCommunicationSendTripletEvictPerms: 5517416 ns
ClientComputationGenTripletEvictPerms: 31792 ns
ClientServerCommunicationSendTripletEvictPerms: 4699458 ns
ClientComputationGenTripletEvictPerms: 31625 ns
ClientServerCommunicationSendTripletEvictPerms: 4949416 ns
ClientComputationGenTripletEvictPerms: 6667 ns
ClientServerCommunicationSendTripletEvictPerms: 4270084 ns
ClientComputationGenTripletEvictPerms: 30625 ns
ClientServerCommunicationSendTripletEvictPerms: 4218000 ns
ClientComputationGenTripletEvictPerms: 88917 ns
ClientServerCommunicationSendTripletEvictPerms: 3802250 ns
ClientComputationGenTripletEvictPerms: 21000 ns
ClientServerCommunicationSendTripletEvictPerms: 4087166 ns
ClientComputationGenTripletEvictPerms: 80042 ns
ClientServerCommunicationSendTripletEvictPerms: 4868458 ns
ClientComputationGenTripletEvictPerms: 34042 ns
ClientServerCommunicationSendTripletEvictPerms: 4725750 ns
ClientComputationGenTripletEvictPerms: 32542 ns
ClientServerCommunicationSendTripletEvictPerms: 3883334 ns
ClientComputationGenTripletEvictPerms: 65417 ns
ClientServerCommunicationSendTripletEvictPerms: 3915667 ns
ClientComputationGenTripletEvictPerms: 34125 ns
ClientServerCommunicationSendTripletEvictPerms: 3900542 ns
ClientComputationGenTripletEvictPerms: 33000 ns
ClientServerCommunicationSendTripletEvictPerms: 3648125 ns
ClientComputationGenTripletEvictPerms: 32583 ns
ClientServerCommunicationSendTripletEvictPerms: 3956958 ns
ClientComputationGenTripletEvictPerms: 9125 ns
ClientServerCommunicationSendTripletEvictPerms: 3655583 ns
ClientComputationGenTripletEvictPerms: 30500 ns
ClientServerCommunicationSendTripletEvictPerms: 3232084 ns
ClientComputationGenTripletEvictPerms: 40458 ns
