Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:3209 ns
ClientComputationRerandomization: 94426125 ns
ClientServerCommunicationSendRootBucket: 1200463708 ns
ClientComputationGenTripletEvictPerms: 10917 ns
ClientServerCommunicationSendTripletEvictPerms: 3411000 ns
ClientComputationGenTripletEvictPerms: 26667 ns
ClientServerCommunicationSendTripletEvictPerms: 3577709 ns
ClientComputationGenTripletEvictPerms: 33625 ns
ClientServerCommunicationSendTripletEvictPerms: 3527708 ns
ClientComputationGenTripletEvictPerms: 28167 ns
ClientServerCommunicationSendTripletEvictPerms: 3949459 ns
ClientComputationGenTripletEvictPerms: 32750 ns
ClientServerCommunicationSendTripletEvictPerms: 3168792 ns
ClientComputationGenTripletEvictPerms: 26750 ns
ClientServerCommunicationSendTripletEvictPerms: 3327834 ns
ClientComputationGenTripletEvictPerms: 11959 ns
ClientServerCommunicationSendTripletEvictPerms: 3820708 ns
ClientComputationGenTripletEvictPerms: 20584 ns
ClientServerCommunicationSendTripletEvictPerms: 3178584 ns
ClientComputationGenTripletEvictPerms: 38917 ns
ClientServerCommunicationSendTripletEvictPerms: 4743041 ns
ClientComputationGenTripletEvictPerms: 7916 ns
ClientServerCommunicationSendTripletEvictPerms: 4016792 ns
ClientComputationGenTripletEvictPerms: 28417 ns
ClientServerCommunicationSendTripletEvictPerms: 3330583 ns
ClientComputationGenTripletEvictPerms: 33125 ns
ClientServerCommunicationSendTripletEvictPerms: 5088875 ns
ClientComputationGenTripletEvictPerms: 37125 ns
ClientServerCommunicationSendTripletEvictPerms: 3388584 ns
ClientComputationGenTripletEvictPerms: 30000 ns
ClientServerCommunicationSendTripletEvictPerms: 3477167 ns
ClientComputationGenTripletEvictPerms: 9583 ns
ClientServerCommunicationSendTripletEvictPerms: 3167750 ns
ClientComputationGenTripletEvictPerms: 24416 ns
ClientServerCommunicationSendTripletEvictPerms: 4168291 ns
ClientComputationGenTripletEvictPerms: 28167 ns
ClientServerCommunicationSendTripletEvictPerms: 3644416 ns
ClientComputationGenTripletEvictPerms: 37458 ns
ClientServerCommunicationSendTripletEvictPerms: 3853875 ns
ClientComputationGenTripletEvictPerms: 31667 ns
ClientServerCommunicationSendTripletEvictPerms: 4804291 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:1667 ns
ClientComputationRerandomization: 97846833 ns
ClientServerCommunicationSendRootBucket: 1514283667 ns
ClientComputationGenTripletEvictPerms: 41667 ns
ClientServerCommunicationSendTripletEvictPerms: 3193083 ns
ClientComputationGenTripletEvictPerms: 13375 ns
ClientServerCommunicationSendTripletEvictPerms: 3675708 ns
ClientComputationGenTripletEvictPerms: 27500 ns
ClientServerCommunicationSendTripletEvictPerms: 3372916 ns
ClientComputationGenTripletEvictPerms: 33334 ns
ClientServerCommunicationSendTripletEvictPerms: 3639458 ns
ClientComputationGenTripletEvictPerms: 33958 ns
ClientServerCommunicationSendTripletEvictPerms: 3360958 ns
ClientComputationGenTripletEvictPerms: 23208 ns
ClientServerCommunicationSendTripletEvictPerms: 3402417 ns
ClientComputationGenTripletEvictPerms: 27416 ns
ClientServerCommunicationSendTripletEvictPerms: 3225458 ns
ClientComputationGenTripletEvictPerms: 27125 ns
ClientServerCommunicationSendTripletEvictPerms: 4161625 ns
ClientComputationGenTripletEvictPerms: 25500 ns
ClientServerCommunicationSendTripletEvictPerms: 3889500 ns
ClientComputationGenTripletEvictPerms: 21416 ns
ClientServerCommunicationSendTripletEvictPerms: 3664084 ns
ClientComputationGenTripletEvictPerms: 42625 ns
ClientServerCommunicationSendTripletEvictPerms: 3351000 ns
ClientComputationGenTripletEvictPerms: 41833 ns
ClientServerCommunicationSendTripletEvictPerms: 4518416 ns
ClientComputationGenTripletEvictPerms: 23416 ns
ClientServerCommunicationSendTripletEvictPerms: 3637000 ns
ClientComputationGenTripletEvictPerms: 27084 ns
ClientServerCommunicationSendTripletEvictPerms: 3203417 ns
ClientComputationGenTripletEvictPerms: 31750 ns
ClientServerCommunicationSendTripletEvictPerms: 4304542 ns
ClientComputationGenTripletEvictPerms: 25708 ns
ClientServerCommunicationSendTripletEvictPerms: 2827583 ns
ClientComputationGenTripletEvictPerms: 35541 ns
ClientServerCommunicationSendTripletEvictPerms: 3545542 ns
ClientComputationGenTripletEvictPerms: 17208 ns
ClientServerCommunicationSendTripletEvictPerms: 3488000 ns
ClientComputationGenTripletEvictPerms: 33833 ns
ClientServerCommunicationSendTripletEvictPerms: 3953542 ns
Iteration 2for warm up
ClientComputationUpdateMetaData:1833 ns
