Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:2250 ns
ClientComputationRerandomization: 98192333 ns
ClientServerCommunicationSendRootBucket: 1627325417 ns
ClientComputationGenTripletEvictPerms: 30458 ns
ClientServerCommunicationSendTripletEvictPerms: 2974625 ns
ClientComputationGenTripletEvictPerms: 15542 ns
ClientServerCommunicationSendTripletEvictPerms: 5454292 ns
ClientComputationGenTripletEvictPerms: 7500 ns
ClientServerCommunicationSendTripletEvictPerms: 4803042 ns
ClientComputationGenTripletEvictPerms: 33125 ns
ClientServerCommunicationSendTripletEvictPerms: 6450042 ns
ClientComputationGenTripletEvictPerms: 16708 ns
ClientServerCommunicationSendTripletEvictPerms: 4115500 ns
ClientComputationGenTripletEvictPerms: 7000 ns
ClientServerCommunicationSendTripletEvictPerms: 4407417 ns
ClientComputationGenTripletEvictPerms: 30708 ns
ClientServerCommunicationSendTripletEvictPerms: 5236542 ns
ClientComputationGenTripletEvictPerms: 24375 ns
ClientServerCommunicationSendTripletEvictPerms: 4569667 ns
ClientComputationGenTripletEvictPerms: 12375 ns
ClientServerCommunicationSendTripletEvictPerms: 4206083 ns
ClientComputationGenTripletEvictPerms: 9541 ns
ClientServerCommunicationSendTripletEvictPerms: 5018625 ns
ClientComputationGenTripletEvictPerms: 25875 ns
ClientServerCommunicationSendTripletEvictPerms: 5270875 ns
ClientComputationGenTripletEvictPerms: 26416 ns
ClientServerCommunicationSendTripletEvictPerms: 5018375 ns
ClientComputationGenTripletEvictPerms: 39708 ns
ClientServerCommunicationSendTripletEvictPerms: 4584208 ns
ClientComputationGenTripletEvictPerms: 6625 ns
ClientServerCommunicationSendTripletEvictPerms: 3878709 ns
ClientComputationGenTripletEvictPerms: 15708 ns
ClientServerCommunicationSendTripletEvictPerms: 5397958 ns
ClientComputationGenTripletEvictPerms: 28250 ns
ClientServerCommunicationSendTripletEvictPerms: 5000417 ns
ClientComputationGenTripletEvictPerms: 28958 ns
ClientServerCommunicationSendTripletEvictPerms: 4825500 ns
ClientComputationGenTripletEvictPerms: 32833 ns
ClientServerCommunicationSendTripletEvictPerms: 3925541 ns
ClientComputationGenTripletEvictPerms: 32208 ns
ClientServerCommunicationSendTripletEvictPerms: 5043125 ns
ClientComputationGenTripletEvictPerms: 34292 ns
ClientServerCommunicationSendTripletEvictPerms: 3506208 ns
ClientComputationGenTripletEvictPerms: 49583 ns
ClientServerCommunicationSendTripletEvictPerms: 4546125 ns
ClientComputationGenTripletEvictPerms: 8500 ns
ClientServerCommunicationSendTripletEvictPerms: 5461709 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:3042 ns
ClientComputationRerandomization: 104663666 ns
ClientServerCommunicationSendRootBucket: 1893898543 ns
ClientComputationGenTripletEvictPerms: 23792 ns
ClientServerCommunicationSendTripletEvictPerms: 5246291 ns
ClientComputationGenTripletEvictPerms: 31833 ns
ClientServerCommunicationSendTripletEvictPerms: 4882917 ns
ClientComputationGenTripletEvictPerms: 6583 ns
ClientServerCommunicationSendTripletEvictPerms: 4481208 ns
ClientComputationGenTripletEvictPerms: 25083 ns
ClientServerCommunicationSendTripletEvictPerms: 3761750 ns
ClientComputationGenTripletEvictPerms: 36625 ns
ClientServerCommunicationSendTripletEvictPerms: 4228417 ns
ClientComputationGenTripletEvictPerms: 34708 ns
ClientServerCommunicationSendTripletEvictPerms: 4460041 ns
ClientComputationGenTripletEvictPerms: 35208 ns
ClientServerCommunicationSendTripletEvictPerms: 4582458 ns
ClientComputationGenTripletEvictPerms: 25167 ns
ClientServerCommunicationSendTripletEvictPerms: 3596042 ns
ClientComputationGenTripletEvictPerms: 38042 ns
ClientServerCommunicationSendTripletEvictPerms: 5913417 ns
ClientComputationGenTripletEvictPerms: 34917 ns
ClientServerCommunicationSendTripletEvictPerms: 4390125 ns
ClientComputationGenTripletEvictPerms: 7250 ns
ClientServerCommunicationSendTripletEvictPerms: 4454750 ns
ClientComputationGenTripletEvictPerms: 80041 ns
ClientServerCommunicationSendTripletEvictPerms: 4340791 ns
ClientComputationGenTripletEvictPerms: 31708 ns
ClientServerCommunicationSendTripletEvictPerms: 4578208 ns
ClientComputationGenTripletEvictPerms: 52125 ns
ClientServerCommunicationSendTripletEvictPerms: 4136542 ns
ClientComputationGenTripletEvictPerms: 18542 ns
ClientServerCommunicationSendTripletEvictPerms: 4877042 ns
ClientComputationGenTripletEvictPerms: 31125 ns
ClientServerCommunicationSendTripletEvictPerms: 4602417 ns
ClientComputationGenTripletEvictPerms: 44458 ns
