Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:3792 ns
ClientComputationRerandomization: 98162958 ns
ClientServerCommunicationSendRootBucket: 305429625 ns
ClientComputationGenTripletEvictPerms: 79167 ns
ClientServerCommunicationSendTripletEvictPerms: 3606750 ns
ClientComputationGenTripletEvictPerms: 25875 ns
ClientServerCommunicationSendTripletEvictPerms: 3385542 ns
ClientComputationGenTripletEvictPerms: 25958 ns
ClientServerCommunicationSendTripletEvictPerms: 3462167 ns
ClientComputationGenTripletEvictPerms: 29792 ns
ClientServerCommunicationSendTripletEvictPerms: 3937166 ns
ClientComputationGenTripletEvictPerms: 31000 ns
ClientServerCommunicationSendTripletEvictPerms: 6732334 ns
ClientComputationGenTripletEvictPerms: 9833 ns
ClientServerCommunicationSendTripletEvictPerms: 3843417 ns
ClientComputationGenTripletEvictPerms: 29750 ns
ClientServerCommunicationSendTripletEvictPerms: 5667250 ns
ClientComputationGenTripletEvictPerms: 7833 ns
ClientServerCommunicationSendTripletEvictPerms: 4546792 ns
ClientComputationGenTripletEvictPerms: 22000 ns
ClientServerCommunicationSendTripletEvictPerms: 3577667 ns
ClientComputationGenTripletEvictPerms: 16833 ns
ClientServerCommunicationSendTripletEvictPerms: 3991208 ns
ClientComputationGenTripletEvictPerms: 14500 ns
ClientServerCommunicationSendTripletEvictPerms: 3701166 ns
ClientComputationGenTripletEvictPerms: 27417 ns
ClientServerCommunicationSendTripletEvictPerms: 3386416 ns
ClientComputationGenTripletEvictPerms: 37958 ns
ClientServerCommunicationSendTripletEvictPerms: 3509167 ns
ClientComputationGenTripletEvictPerms: 7791 ns
ClientServerCommunicationSendTripletEvictPerms: 4061208 ns
ClientComputationGenTripletEvictPerms: 32750 ns
ClientServerCommunicationSendTripletEvictPerms: 3631958 ns
ClientComputationGenTripletEvictPerms: 33083 ns
ClientServerCommunicationSendTripletEvictPerms: 3062834 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:2417 ns
ClientComputationRerandomization: 102149417 ns
ClientServerCommunicationSendRootBucket: 1453597584 ns
ClientComputationGenTripletEvictPerms: 18959 ns
ClientServerCommunicationSendTripletEvictPerms: 3647500 ns
ClientComputationGenTripletEvictPerms: 84667 ns
ClientServerCommunicationSendTripletEvictPerms: 3746083 ns
ClientComputationGenTripletEvictPerms: 21125 ns
ClientServerCommunicationSendTripletEvictPerms: 3428042 ns
ClientComputationGenTripletEvictPerms: 21334 ns
ClientServerCommunicationSendTripletEvictPerms: 3421208 ns
ClientComputationGenTripletEvictPerms: 18125 ns
ClientServerCommunicationSendTripletEvictPerms: 3488291 ns
ClientComputationGenTripletEvictPerms: 31833 ns
ClientServerCommunicationSendTripletEvictPerms: 3218500 ns
ClientComputationGenTripletEvictPerms: 7584 ns
ClientServerCommunicationSendTripletEvictPerms: 3826416 ns
ClientComputationGenTripletEvictPerms: 16417 ns
ClientServerCommunicationSendTripletEvictPerms: 3430917 ns
ClientComputationGenTripletEvictPerms: 18208 ns
ClientServerCommunicationSendTripletEvictPerms: 3442000 ns
ClientComputationGenTripletEvictPerms: 25000 ns
ClientServerCommunicationSendTripletEvictPerms: 3478208 ns
ClientComputationGenTripletEvictPerms: 24833 ns
ClientServerCommunicationSendTripletEvictPerms: 3433292 ns
ClientComputationGenTripletEvictPerms: 31416 ns
ClientServerCommunicationSendTripletEvictPerms: 3022375 ns
ClientComputationGenTripletEvictPerms: 32375 ns
ClientServerCommunicationSendTripletEvictPerms: 3445958 ns
ClientComputationGenTripletEvictPerms: 30500 ns
ClientServerCommunicationSendTripletEvictPerms: 3799458 ns
ClientComputationGenTripletEvictPerms: 20459 ns
ClientServerCommunicationSendTripletEvictPerms: 3666083 ns
ClientComputationGenTripletEvictPerms: 17375 ns
ClientServerCommunicationSendTripletEvictPerms: 3586375 ns
Iteration 2for warm up
ClientComputationUpdateMetaData:3833 ns
ClientComputationRerandomization: 106626501 ns
ClientServerCommunicationSendRootBucket: 1568654042 ns
ClientComputationGenTripletEvictPerms: 14709 ns
ClientServerCommunicationSendTripletEvictPerms: 3288541 ns
ClientComputationGenTripletEvictPerms: 59500 ns
ClientServerCommunicationSendTripletEvictPerms: 3270416 ns
ClientComputationGenTripletEvictPerms: 17083 ns
ClientServerCommunicationSendTripletEvictPerms: 3591125 ns
ClientComputationGenTripletEvictPerms: 24708 ns
ClientServerCommunicationSendTripletEvictPerms: 3819584 ns
ClientComputationGenTripletEvictPerms: 27709 ns
ClientServerCommunicationSendTripletEvictPerms: 3303834 ns
