Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:3333 ns
ClientComputationRerandomization: 93326750 ns
ClientServerCommunicationSendRootBucket: 1409861834 ns
ClientComputationGenTripletEvictPerms: 25791 ns
ClientServerCommunicationSendTripletEvictPerms: 3345083 ns
ClientComputationGenTripletEvictPerms: 31625 ns
ClientServerCommunicationSendTripletEvictPerms: 3876625 ns
ClientComputationGenTripletEvictPerms: 49958 ns
ClientServerCommunicationSendTripletEvictPerms: 4795042 ns
ClientComputationGenTripletEvictPerms: 24792 ns
ClientServerCommunicationSendTripletEvictPerms: 3598584 ns
ClientComputationGenTripletEvictPerms: 33042 ns
ClientServerCommunicationSendTripletEvictPerms: 3374625 ns
ClientComputationGenTripletEvictPerms: 31375 ns
ClientServerCommunicationSendTripletEvictPerms: 3285125 ns
ClientComputationGenTripletEvictPerms: 23875 ns
ClientServerCommunicationSendTripletEvictPerms: 4476250 ns
ClientComputationGenTripletEvictPerms: 26500 ns
ClientServerCommunicationSendTripletEvictPerms: 3282834 ns
ClientComputationGenTripletEvictPerms: 8416 ns
ClientServerCommunicationSendTripletEvictPerms: 3881791 ns
ClientComputationGenTripletEvictPerms: 8625 ns
ClientServerCommunicationSendTripletEvictPerms: 4276167 ns
ClientComputationGenTripletEvictPerms: 26375 ns
ClientServerCommunicationSendTripletEvictPerms: 3502959 ns
ClientComputationGenTripletEvictPerms: 7791 ns
ClientServerCommunicationSendTripletEvictPerms: 3749000 ns
ClientComputationGenTripletEvictPerms: 15750 ns
ClientServerCommunicationSendTripletEvictPerms: 3379708 ns
ClientComputationGenTripletEvictPerms: 23167 ns
ClientServerCommunicationSendTripletEvictPerms: 3299333 ns
ClientComputationGenTripletEvictPerms: 36084 ns
ClientServerCommunicationSendTripletEvictPerms: 3409791 ns
ClientComputationGenTripletEvictPerms: 38167 ns
ClientServerCommunicationSendTripletEvictPerms: 3460416 ns
ClientComputationGenTripletEvictPerms: 32416 ns
ClientServerCommunicationSendTripletEvictPerms: 3987291 ns
ClientComputationGenTripletEvictPerms: 11375 ns
ClientServerCommunicationSendTripletEvictPerms: 3887292 ns
ClientComputationGenTripletEvictPerms: 30125 ns
ClientServerCommunicationSendTripletEvictPerms: 3251334 ns
ClientComputationGenTripletEvictPerms: 27833 ns
ClientServerCommunicationSendTripletEvictPerms: 4528834 ns
ClientComputationGenTripletEvictPerms: 71667 ns
ClientServerCommunicationSendTripletEvictPerms: 3589166 ns
ClientComputationGenTripletEvictPerms: 29166 ns
ClientServerCommunicationSendTripletEvictPerms: 3387792 ns
ClientComputationGenTripletEvictPerms: 41625 ns
ClientServerCommunicationSendTripletEvictPerms: 3249709 ns
ClientComputationGenTripletEvictPerms: 27375 ns
ClientServerCommunicationSendTripletEvictPerms: 3362584 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:3708 ns
ClientComputationRerandomization: 108573334 ns
ClientServerCommunicationSendRootBucket: 1087413709 ns
ClientComputationGenTripletEvictPerms: 14084 ns
ClientServerCommunicationSendTripletEvictPerms: 2892417 ns
ClientComputationGenTripletEvictPerms: 25125 ns
ClientServerCommunicationSendTripletEvictPerms: 3893625 ns
ClientComputationGenTripletEvictPerms: 12459 ns
ClientServerCommunicationSendTripletEvictPerms: 3705333 ns
ClientComputationGenTripletEvictPerms: 24417 ns
ClientServerCommunicationSendTripletEvictPerms: 5397416 ns
ClientComputationGenTripletEvictPerms: 43166 ns
ClientServerCommunicationSendTripletEvictPerms: 4102916 ns
ClientComputationGenTripletEvictPerms: 16500 ns
ClientServerCommunicationSendTripletEvictPerms: 3341333 ns
ClientComputationGenTripletEvictPerms: 7416 ns
ClientServerCommunicationSendTripletEvictPerms: 4639375 ns
ClientComputationGenTripletEvictPerms: 25209 ns
ClientServerCommunicationSendTripletEvictPerms: 4494208 ns
ClientComputationGenTripletEvictPerms: 46541 ns
ClientServerCommunicationSendTripletEvictPerms: 4164000 ns
ClientComputationGenTripletEvictPerms: 26458 ns
ClientServerCommunicationSendTripletEvictPerms: 4098625 ns
ClientComputationGenTripletEvictPerms: 28583 ns
ClientServerCommunicationSendTripletEvictPerms: 3428833 ns
ClientComputationGenTripletEvictPerms: 15458 ns
ClientServerCommunicationSendTripletEvictPerms: 3503792 ns
ClientComputationGenTripletEvictPerms: 27875 ns
ClientServerCommunicationSendTripletEvictPerms: 3297625 ns
ClientComputationGenTripletEvictPerms: 27625 ns
ClientServerCommunicationSendTripletEvictPerms: 3691666 ns
ClientComputationGenTripletEvictPerms: 27416 ns
