Initializing ElGamal Parameters...
Connected to the server at 128.173.236.241:8183
Iteration 0for warm up
ClientComputationUpdateMetaData:875 ns
ClientComputationRerandomization: 86030625 ns
ClientServerCommunicationSendRootBucket: 1210230543 ns
ClientComputationGenTripletEvictPerms: 25750 ns
ClientServerCommunicationSendTripletEvictPerms: 3498500 ns
ClientComputationGenTripletEvictPerms: 34500 ns
ClientServerCommunicationSendTripletEvictPerms: 2991208 ns
ClientComputationGenTripletEvictPerms: 28375 ns
ClientServerCommunicationSendTripletEvictPerms: 3712084 ns
ClientComputationGenTripletEvictPerms: 10750 ns
ClientServerCommunicationSendTripletEvictPerms: 3724708 ns
ClientComputationGenTripletEvictPerms: 13708 ns
ClientServerCommunicationSendTripletEvictPerms: 3330958 ns
ClientComputationGenTripletEvictPerms: 20333 ns
ClientServerCommunicationSendTripletEvictPerms: 3409208 ns
ClientComputationGenTripletEvictPerms: 23417 ns
ClientServerCommunicationSendTripletEvictPerms: 3441500 ns
ClientComputationGenTripletEvictPerms: 73333 ns
ClientServerCommunicationSendTripletEvictPerms: 3397708 ns
ClientComputationGenTripletEvictPerms: 16084 ns
ClientServerCommunicationSendTripletEvictPerms: 3952666 ns
ClientComputationGenTripletEvictPerms: 66708 ns
ClientServerCommunicationSendTripletEvictPerms: 3222166 ns
ClientComputationGenTripletEvictPerms: 65417 ns
ClientServerCommunicationSendTripletEvictPerms: 3095834 ns
ClientComputationGenTripletEvictPerms: 19292 ns
ClientServerCommunicationSendTripletEvictPerms: 3253375 ns
ClientComputationGenTripletEvictPerms: 17167 ns
ClientServerCommunicationSendTripletEvictPerms: 3897791 ns
ClientComputationGenTripletEvictPerms: 34792 ns
ClientServerCommunicationSendTripletEvictPerms: 3420375 ns
ClientComputationGenTripletEvictPerms: 32792 ns
ClientServerCommunicationSendTripletEvictPerms: 3807000 ns
ClientComputationGenTripletEvictPerms: 68250 ns
ClientServerCommunicationSendTripletEvictPerms: 3798625 ns
ClientComputationGenTripletEvictPerms: 27500 ns
ClientServerCommunicationSendTripletEvictPerms: 3835875 ns
ClientComputationGenTripletEvictPerms: 21833 ns
ClientServerCommunicationSendTripletEvictPerms: 3017417 ns
ClientComputationGenTripletEvictPerms: 35542 ns
ClientServerCommunicationSendTripletEvictPerms: 3844458 ns
ClientComputationGenTripletEvictPerms: 44542 ns
ClientServerCommunicationSendTripletEvictPerms: 4368250 ns
Iteration 1for warm up
ClientComputationUpdateMetaData:2167 ns
ClientComputationRerandomization: 107501791 ns
ClientServerCommunicationSendRootBucket: 1672092876 ns
ClientComputationGenTripletEvictPerms: 16417 ns
ClientServerCommunicationSendTripletEvictPerms: 3988291 ns
ClientComputationGenTripletEvictPerms: 35583 ns
ClientServerCommunicationSendTripletEvictPerms: 4714709 ns
ClientComputationGenTripletEvictPerms: 21333 ns
ClientServerCommunicationSendTripletEvictPerms: 3301250 ns
ClientComputationGenTripletEvictPerms: 23250 ns
ClientServerCommunicationSendTripletEvictPerms: 3874500 ns
ClientComputationGenTripletEvictPerms: 34083 ns
ClientServerCommunicationSendTripletEvictPerms: 3988583 ns
ClientComputationGenTripletEvictPerms: 6416 ns
ClientServerCommunicationSendTripletEvictPerms: 3718250 ns
ClientComputationGenTripletEvictPerms: 33208 ns
ClientServerCommunicationSendTripletEvictPerms: 3645167 ns
ClientComputationGenTripletEvictPerms: 26042 ns
ClientServerCommunicationSendTripletEvictPerms: 3352625 ns
ClientComputationGenTripletEvictPerms: 26792 ns
ClientServerCommunicationSendTripletEvictPerms: 3407791 ns
ClientComputationGenTripletEvictPerms: 35375 ns
ClientServerCommunicationSendTripletEvictPerms: 3992458 ns
ClientComputationGenTripletEvictPerms: 37833 ns
ClientServerCommunicationSendTripletEvictPerms: 4233792 ns
ClientComputationGenTripletEvictPerms: 34375 ns
ClientServerCommunicationSendTripletEvictPerms: 3435500 ns
ClientComputationGenTripletEvictPerms: 22750 ns
ClientServerCommunicationSendTripletEvictPerms: 3648500 ns
ClientComputationGenTripletEvictPerms: 25125 ns
ClientServerCommunicationSendTripletEvictPerms: 3427833 ns
ClientComputationGenTripletEvictPerms: 7375 ns
ClientServerCommunicationSendTripletEvictPerms: 3609500 ns
ClientComputationGenTripletEvictPerms: 40375 ns
ClientServerCommunicationSendTripletEvictPerms: 3656792 ns
ClientComputationGenTripletEvictPerms: 35500 ns
ClientServerCommunicationSendTripletEvictPerms: 3676709 ns
ClientComputationGenTripletEvictPerms: 20541 ns
ClientServerCommunicationSendTripletEvictPerms: 2881083 ns
ClientComputationGenTripletEvictPerms: 24166 ns
