Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 16394 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 47860 ns
ServerComputation:ParallelMultiplyCiphertexts: 1117169 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52585 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24322 ns
ServerComputation:ParallelMultiplyCiphertexts: 1138806 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45555 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26579 ns
ServerComputation:ParallelMultiplyCiphertexts: 1141874 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45394 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26228 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183519 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43979 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25050 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173487 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43503 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25534 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167093 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44260 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25180 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182474 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46478 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23444 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186867 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44906 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24392 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188533 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50162 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26962 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193549 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42929 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26525 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196135 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45021 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27674 ns
ServerComputation:ParallelMultiplyCiphertexts: 1226832 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47148 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28503 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195880 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44851 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27691 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167557 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45932 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26541 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196896 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45048 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27880 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186028 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46648 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26772 ns
ServerComputation:ParallelMultiplyCiphertexts: 1158689 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47962 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25186 ns
ServerComputation:ParallelMultiplyCiphertexts: 1165919 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43079 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25098 ns
ServerComputation:ParallelMultiplyCiphertexts: 1156151 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44535 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24339 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175837 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46400 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24783 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194531 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43579 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22738 ns
ServerComputation:ParallelMultiplyCiphertexts: 1151076 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42815 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23724 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179608 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44342 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24042 ns
ServerComputation:ParallelMultiplyCiphertexts: 1148819 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41426 ns
ClientServerCommunication:SendData: 17956430 ns
ServerComputation:ConvertPID2BIDs: 6833 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 46860 ns
ServerComputation:ParallelMultiplyCiphertexts: 1132648 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51640 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28976 ns
ServerComputation:ParallelMultiplyCiphertexts: 1136573 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44915 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24017 ns
ServerComputation:ParallelMultiplyCiphertexts: 1201704 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42443 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25200 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190719 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43950 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25354 ns
ServerComputation:ParallelMultiplyCiphertexts: 1128227 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43330 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24766 ns
ServerComputation:ParallelMultiplyCiphertexts: 1208999 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43494 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23567 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174132 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46633 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25643 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178745 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45366 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25479 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177661 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45164 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25956 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174438 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49949 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28535 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183345 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44607 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25788 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177207 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42719 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29895 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184016 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45259 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27360 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178088 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44622 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29112 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177252 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43870 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26675 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196908 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44417 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26601 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189295 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45733 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25889 ns
ServerComputation:ParallelMultiplyCiphertexts: 1223278 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44415 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23238 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180916 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45840 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22931 ns
ServerComputation:ParallelMultiplyCiphertexts: 1157913 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42860 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24317 ns
ServerComputation:ParallelMultiplyCiphertexts: 1207498 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44350 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23371 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184879 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45208 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22909 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187243 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43702 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22153 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197080 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42224 ns
ClientServerCommunication:SendData: 19260579 ns
ServerComputation:ConvertPID2BIDs: 6868 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 46547 ns
ServerComputation:ParallelMultiplyCiphertexts: 1102428 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48281 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23033 ns
ServerComputation:ParallelMultiplyCiphertexts: 1156904 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46380 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24608 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192352 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42943 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25051 ns
ServerComputation:ParallelMultiplyCiphertexts: 1170670 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46419 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25948 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198787 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51610 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25920 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174806 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44887 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25304 ns
ServerComputation:ParallelMultiplyCiphertexts: 1164216 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46007 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24158 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174709 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44918 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24307 ns
ServerComputation:ParallelMultiplyCiphertexts: 1166802 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45431 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25569 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203223 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44494 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24998 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174085 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46053 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24646 ns
ServerComputation:ParallelMultiplyCiphertexts: 1142966 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45351 ns
