Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 15897 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 54419 ns
ServerComputation:ParallelMultiplyCiphertexts: 1119909 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 57604 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31344 ns
ServerComputation:ParallelMultiplyCiphertexts: 1141985 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47466 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30285 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173252 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46355 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30747 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185425 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45185 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29436 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172667 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42282 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25923 ns
ServerComputation:ParallelMultiplyCiphertexts: 1169259 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41438 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26951 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177773 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41474 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25235 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185694 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45603 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25894 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183363 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43640 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25802 ns
ServerComputation:ParallelMultiplyCiphertexts: 1199213 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44138 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26482 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194957 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43862 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26337 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176212 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43322 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24776 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191056 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44536 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24007 ns
ServerComputation:ParallelMultiplyCiphertexts: 1170127 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43395 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25439 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200063 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41336 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24488 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183386 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42766 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25267 ns
ServerComputation:ParallelMultiplyCiphertexts: 1155925 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43705 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23345 ns
ServerComputation:ParallelMultiplyCiphertexts: 1165760 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46933 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23295 ns
ServerComputation:ParallelMultiplyCiphertexts: 1157166 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42471 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24251 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186765 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44906 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23602 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188663 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44935 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22276 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192598 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41913 ns
ClientServerCommunication:SendData: 19282612 ns
ServerComputation:ConvertPID2BIDs: 1947 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 51048 ns
ServerComputation:ParallelMultiplyCiphertexts: 1111106 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50727 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30269 ns
ServerComputation:ParallelMultiplyCiphertexts: 1126396 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43609 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29756 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204063 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46652 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28822 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178344 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47801 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29035 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203203 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44078 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24452 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188717 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47670 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24949 ns
ServerComputation:ParallelMultiplyCiphertexts: 1131458 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42562 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25209 ns
ServerComputation:ParallelMultiplyCiphertexts: 1206841 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45703 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26501 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175652 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45483 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25024 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179394 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43918 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25610 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175915 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43606 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25366 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171416 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46826 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23785 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186407 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46006 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23994 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178119 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44166 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23776 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190516 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45721 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30484 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173237 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43993 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25056 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180231 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42708 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25820 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198340 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45528 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22691 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198976 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43159 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25034 ns
ServerComputation:ParallelMultiplyCiphertexts: 1221086 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46536 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27393 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180946 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44028 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22771 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178088 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42687 ns
ClientServerCommunication:SendData: 20203934 ns
ServerComputation:ConvertPID2BIDs: 6362 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 49196 ns
ServerComputation:ParallelMultiplyCiphertexts: 1136254 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52532 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28880 ns
ServerComputation:ParallelMultiplyCiphertexts: 1116962 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46227 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29297 ns
ServerComputation:ParallelMultiplyCiphertexts: 1156350 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44771 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29281 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177373 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45464 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28896 ns
ServerComputation:ParallelMultiplyCiphertexts: 1169870 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46249 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24658 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187153 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45832 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24665 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192452 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45633 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25844 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176204 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44184 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24049 ns
ServerComputation:ParallelMultiplyCiphertexts: 1199993 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43831 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25186 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173314 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46325 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25863 ns
ServerComputation:ParallelMultiplyCiphertexts: 1162464 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47845 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25579 ns
ServerComputation:ParallelMultiplyCiphertexts: 1277607 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41744 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25642 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171991 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49850 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25461 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205274 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43878 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25382 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176278 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46904 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25072 ns
ServerComputation:ParallelMultiplyCiphertexts: 1145451 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44233 ns
