Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 10114 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 48954 ns
ServerComputation:ParallelMultiplyCiphertexts: 1163273 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 54348 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25381 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194630 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43754 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28669 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194635 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45761 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28694 ns
ServerComputation:ParallelMultiplyCiphertexts: 1244153 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44831 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29364 ns
ServerComputation:ParallelMultiplyCiphertexts: 1226996 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45450 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28443 ns
ServerComputation:ParallelMultiplyCiphertexts: 1232642 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45086 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28239 ns
ServerComputation:ParallelMultiplyCiphertexts: 1238047 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48292 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24485 ns
ServerComputation:ParallelMultiplyCiphertexts: 1236576 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42649 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24873 ns
ServerComputation:ParallelMultiplyCiphertexts: 1237903 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44936 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24206 ns
ServerComputation:ParallelMultiplyCiphertexts: 1248951 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46432 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25555 ns
ServerComputation:ParallelMultiplyCiphertexts: 1274772 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43851 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24535 ns
ServerComputation:ParallelMultiplyCiphertexts: 1225594 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43804 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28140 ns
ServerComputation:ParallelMultiplyCiphertexts: 1249346 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45982 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26799 ns
ServerComputation:ParallelMultiplyCiphertexts: 1229931 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44785 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24786 ns
ServerComputation:ParallelMultiplyCiphertexts: 1246336 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41207 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24214 ns
ServerComputation:ParallelMultiplyCiphertexts: 1246276 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44341 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25389 ns
ServerComputation:ParallelMultiplyCiphertexts: 1209060 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43569 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23662 ns
ServerComputation:ParallelMultiplyCiphertexts: 1219580 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43473 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23384 ns
ServerComputation:ParallelMultiplyCiphertexts: 1212636 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43844 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23688 ns
ServerComputation:ParallelMultiplyCiphertexts: 1234427 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44229 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26088 ns
ServerComputation:ParallelMultiplyCiphertexts: 1246760 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45838 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24445 ns
ServerComputation:ParallelMultiplyCiphertexts: 1218893 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44984 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24936 ns
ServerComputation:ParallelMultiplyCiphertexts: 1230329 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41952 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22865 ns
ServerComputation:ParallelMultiplyCiphertexts: 1206442 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45660 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21305 ns
ServerComputation:ParallelMultiplyCiphertexts: 1249236 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 39610 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22985 ns
ServerComputation:ParallelMultiplyCiphertexts: 1230482 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43329 ns
ClientServerCommunication:SendData: 22400709 ns
ServerComputation:ConvertPID2BIDs: 5527 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 47687 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181962 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50226 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24883 ns
ServerComputation:ParallelMultiplyCiphertexts: 1212085 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45316 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25561 ns
ServerComputation:ParallelMultiplyCiphertexts: 1154379 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45774 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29496 ns
ServerComputation:ParallelMultiplyCiphertexts: 1263133 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44906 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28288 ns
ServerComputation:ParallelMultiplyCiphertexts: 1222396 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45457 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27420 ns
ServerComputation:ParallelMultiplyCiphertexts: 1228019 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45226 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 33492 ns
ServerComputation:ParallelMultiplyCiphertexts: 1230207 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44734 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24932 ns
ServerComputation:ParallelMultiplyCiphertexts: 1223873 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42785 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25663 ns
ServerComputation:ParallelMultiplyCiphertexts: 1246149 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44655 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23862 ns
ServerComputation:ParallelMultiplyCiphertexts: 1225928 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43488 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25580 ns
ServerComputation:ParallelMultiplyCiphertexts: 1239565 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45357 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24712 ns
ServerComputation:ParallelMultiplyCiphertexts: 1229206 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44494 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27197 ns
ServerComputation:ParallelMultiplyCiphertexts: 1234574 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43852 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26211 ns
ServerComputation:ParallelMultiplyCiphertexts: 1246462 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41935 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24793 ns
ServerComputation:ParallelMultiplyCiphertexts: 1244761 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45747 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24451 ns
ServerComputation:ParallelMultiplyCiphertexts: 1272743 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45781 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22467 ns
ServerComputation:ParallelMultiplyCiphertexts: 1245245 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43333 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24594 ns
ServerComputation:ParallelMultiplyCiphertexts: 1207898 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43909 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23421 ns
ServerComputation:ParallelMultiplyCiphertexts: 1255863 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42789 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24276 ns
ServerComputation:ParallelMultiplyCiphertexts: 1237860 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46058 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23946 ns
ServerComputation:ParallelMultiplyCiphertexts: 1237906 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44469 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23496 ns
ServerComputation:ParallelMultiplyCiphertexts: 1223217 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46146 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22757 ns
ServerComputation:ParallelMultiplyCiphertexts: 1223287 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41559 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23428 ns
ServerComputation:ParallelMultiplyCiphertexts: 1244335 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42993 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 20905 ns
ServerComputation:ParallelMultiplyCiphertexts: 1245413 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42379 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23341 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211070 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 39936 ns
ClientServerCommunication:SendData: 22255601 ns
ServerComputation:ConvertPID2BIDs: 2175 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 49354 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178598 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49942 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24011 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195585 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42512 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24700 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180276 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46337 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29238 ns
ServerComputation:ParallelMultiplyCiphertexts: 1236331 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45850 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28710 ns
ServerComputation:ParallelMultiplyCiphertexts: 1221863 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43213 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27853 ns
ServerComputation:ParallelMultiplyCiphertexts: 1249180 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49653 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28193 ns
ServerComputation:ParallelMultiplyCiphertexts: 1229061 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43780 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23363 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198967 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43770 ns
