Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 5645 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 53539 ns
ServerComputation:ParallelMultiplyCiphertexts: 1114512 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 57403 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30348 ns
ServerComputation:ParallelMultiplyCiphertexts: 1149475 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46694 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28348 ns
ServerComputation:ParallelMultiplyCiphertexts: 1144451 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46462 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31183 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190807 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49958 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29213 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174715 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47332 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30585 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172797 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47937 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28110 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189343 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47536 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25390 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190552 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46899 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26367 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197796 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45913 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26285 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202722 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45998 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26884 ns
ServerComputation:ParallelMultiplyCiphertexts: 1199560 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50748 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26274 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181511 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45742 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25559 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197264 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44081 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26151 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191096 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46075 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25581 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197038 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45565 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25243 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196737 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50396 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26487 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167125 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47254 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25768 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171560 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43575 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25124 ns
ServerComputation:ParallelMultiplyCiphertexts: 1157959 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47131 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24163 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186771 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44590 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23059 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197218 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47314 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23025 ns
ServerComputation:ParallelMultiplyCiphertexts: 1156570 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45489 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23273 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189734 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43798 ns
ClientServerCommunication:SendData: 20491494 ns
ServerComputation:ConvertPID2BIDs: 2278 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 56928 ns
ServerComputation:ParallelMultiplyCiphertexts: 1089770 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 54883 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29587 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173760 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50890 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31000 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176373 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48344 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29237 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205596 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48613 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29500 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195682 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48850 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27699 ns
ServerComputation:ParallelMultiplyCiphertexts: 1134133 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49410 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27257 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211230 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47458 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25115 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178245 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47841 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26981 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187372 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46567 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23415 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180290 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48078 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26504 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181607 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46999 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28533 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192542 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45206 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24801 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180020 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45650 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26000 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193582 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48802 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25811 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187451 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43304 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26257 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188192 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45590 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29596 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205244 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46069 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26165 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197767 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43831 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23919 ns
ServerComputation:ParallelMultiplyCiphertexts: 1235043 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45481 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24230 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186205 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46397 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24711 ns
ServerComputation:ParallelMultiplyCiphertexts: 1166106 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50937 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23222 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211526 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45049 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22897 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182207 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42655 ns
ClientServerCommunication:SendData: 19018926 ns
ServerComputation:ConvertPID2BIDs: 5049 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 54664 ns
ServerComputation:ParallelMultiplyCiphertexts: 1117969 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52809 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28995 ns
ServerComputation:ParallelMultiplyCiphertexts: 1146202 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52597 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29486 ns
ServerComputation:ParallelMultiplyCiphertexts: 1139547 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47373 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28121 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196396 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46478 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 35373 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200259 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47176 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29783 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200149 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47683 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28068 ns
ServerComputation:ParallelMultiplyCiphertexts: 1201748 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45914 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25030 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180327 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46714 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26397 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175758 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44597 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24740 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186378 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46658 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26024 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176182 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44589 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25295 ns
ServerComputation:ParallelMultiplyCiphertexts: 1208109 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49335 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25155 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175833 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44181 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26281 ns
ServerComputation:ParallelMultiplyCiphertexts: 1157972 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45408 ns
