Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 4496 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 54810 ns
ServerComputation:ParallelMultiplyCiphertexts: 1116955 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 57198 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26913 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175840 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45735 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25431 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171660 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47746 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26202 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183346 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47620 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26678 ns
ServerComputation:ParallelMultiplyCiphertexts: 1170056 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48631 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25288 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167746 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46541 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26052 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173152 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46808 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25751 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184009 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45569 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26991 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178584 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45914 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24676 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197459 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50903 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25818 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195865 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49373 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28618 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174718 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48068 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29801 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192431 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47548 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28251 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171786 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44676 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27970 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192663 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47433 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26696 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185534 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48307 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28147 ns
ServerComputation:ParallelMultiplyCiphertexts: 1152406 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48937 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26126 ns
ServerComputation:ParallelMultiplyCiphertexts: 1159342 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45668 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23610 ns
ServerComputation:ParallelMultiplyCiphertexts: 1150965 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43665 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21845 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186166 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43600 ns
ClientServerCommunication:SendData: 22168039 ns
ServerComputation:ConvertPID2BIDs: 5432 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 50053 ns
ServerComputation:ParallelMultiplyCiphertexts: 1121185 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 55180 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27947 ns
ServerComputation:ParallelMultiplyCiphertexts: 1144693 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45489 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26290 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176498 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47544 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26159 ns
ServerComputation:ParallelMultiplyCiphertexts: 1160510 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46112 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27753 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203551 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47434 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25803 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171492 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47185 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25425 ns
ServerComputation:ParallelMultiplyCiphertexts: 1206918 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45448 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24382 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188119 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46094 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25701 ns
ServerComputation:ParallelMultiplyCiphertexts: 1131350 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46191 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25835 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204393 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48930 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25362 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177971 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47919 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27765 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180812 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47576 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28361 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179618 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48605 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28940 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172666 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46903 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27460 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184747 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47221 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26756 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174860 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45716 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27122 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185008 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48472 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25263 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172639 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45503 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22662 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175880 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47888 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22302 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186026 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45597 ns
ClientServerCommunication:SendData: 23812623 ns
ServerComputation:ConvertPID2BIDs: 5294 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 51875 ns
ServerComputation:ParallelMultiplyCiphertexts: 1128681 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52797 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28396 ns
ServerComputation:ParallelMultiplyCiphertexts: 1226214 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47219 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25490 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182042 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47926 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26570 ns
ServerComputation:ParallelMultiplyCiphertexts: 1152406 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 53309 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25199 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204740 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50018 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26579 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183059 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45156 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25669 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182000 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48776 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24961 ns
ServerComputation:ParallelMultiplyCiphertexts: 1169614 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47866 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24833 ns
ServerComputation:ParallelMultiplyCiphertexts: 1166041 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48218 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26043 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188963 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48310 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24703 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189964 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49383 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30187 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176567 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 54146 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29829 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200169 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48532 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28174 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174834 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44731 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 33374 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167049 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45781 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28681 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175892 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47340 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27743 ns
ServerComputation:ParallelMultiplyCiphertexts: 1168750 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47565 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26064 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195802 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44512 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24073 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174263 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44570 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22001 ns
ServerComputation:ParallelMultiplyCiphertexts: 1164446 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45859 ns
ClientServerCommunication:SendData: 21710914 ns
