Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 4856 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 49514 ns
ServerComputation:ParallelMultiplyCiphertexts: 1143236 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 56303 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29910 ns
ServerComputation:ParallelMultiplyCiphertexts: 1140414 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45414 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26799 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175980 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46458 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28678 ns
ServerComputation:ParallelMultiplyCiphertexts: 1218936 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45082 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25997 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204547 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42754 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26455 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211464 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45888 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24890 ns
ServerComputation:ParallelMultiplyCiphertexts: 1208003 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42444 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24783 ns
ServerComputation:ParallelMultiplyCiphertexts: 1227611 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46088 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26107 ns
ServerComputation:ParallelMultiplyCiphertexts: 1214809 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44975 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26164 ns
ServerComputation:ParallelMultiplyCiphertexts: 1233106 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46428 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25672 ns
ServerComputation:ParallelMultiplyCiphertexts: 1222188 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44675 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26266 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202065 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45468 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27687 ns
ServerComputation:ParallelMultiplyCiphertexts: 1223151 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46858 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27398 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200886 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45786 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27995 ns
ServerComputation:ParallelMultiplyCiphertexts: 1227249 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46305 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27061 ns
ServerComputation:ParallelMultiplyCiphertexts: 1217694 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45918 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28586 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190192 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42921 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26631 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204687 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45378 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25641 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186144 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44093 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23217 ns
ServerComputation:ParallelMultiplyCiphertexts: 1214839 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44712 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27700 ns
ServerComputation:ParallelMultiplyCiphertexts: 1222093 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43535 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24180 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182111 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43865 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24129 ns
ServerComputation:ParallelMultiplyCiphertexts: 1215539 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45027 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23364 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187075 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42181 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21570 ns
ServerComputation:ParallelMultiplyCiphertexts: 1219915 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41282 ns
ClientServerCommunication:SendData: 17838727 ns
ServerComputation:ConvertPID2BIDs: 2366 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 53209 ns
ServerComputation:ParallelMultiplyCiphertexts: 1129565 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50913 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31239 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198546 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45315 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26956 ns
ServerComputation:ParallelMultiplyCiphertexts: 1214919 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49130 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26098 ns
ServerComputation:ParallelMultiplyCiphertexts: 1164518 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45496 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26590 ns
ServerComputation:ParallelMultiplyCiphertexts: 1241695 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46262 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24350 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205269 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50651 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24998 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211411 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46974 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26350 ns
ServerComputation:ParallelMultiplyCiphertexts: 1220408 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50464 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27387 ns
ServerComputation:ParallelMultiplyCiphertexts: 1206844 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46386 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25557 ns
ServerComputation:ParallelMultiplyCiphertexts: 1220426 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44008 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26259 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211686 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45419 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25754 ns
ServerComputation:ParallelMultiplyCiphertexts: 1212337 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 53835 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29697 ns
ServerComputation:ParallelMultiplyCiphertexts: 1208664 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49070 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28568 ns
ServerComputation:ParallelMultiplyCiphertexts: 1207663 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48473 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29089 ns
ServerComputation:ParallelMultiplyCiphertexts: 1231032 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46658 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30023 ns
ServerComputation:ParallelMultiplyCiphertexts: 1225312 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49245 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26992 ns
ServerComputation:ParallelMultiplyCiphertexts: 1258495 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47890 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27869 ns
ServerComputation:ParallelMultiplyCiphertexts: 1213539 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47407 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24313 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196257 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45654 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23802 ns
ServerComputation:ParallelMultiplyCiphertexts: 1245982 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47227 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23234 ns
ServerComputation:ParallelMultiplyCiphertexts: 1213504 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45736 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23496 ns
ServerComputation:ParallelMultiplyCiphertexts: 1217799 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43622 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23452 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203650 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44777 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24132 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200749 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42488 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22224 ns
ServerComputation:ParallelMultiplyCiphertexts: 1214321 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41223 ns
ClientServerCommunication:SendData: 19128811 ns
ServerComputation:ConvertPID2BIDs: 2315 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 50858 ns
ServerComputation:ParallelMultiplyCiphertexts: 1154054 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50370 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29162 ns
ServerComputation:ParallelMultiplyCiphertexts: 1138171 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45169 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26604 ns
ServerComputation:ParallelMultiplyCiphertexts: 1235921 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50396 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27014 ns
ServerComputation:ParallelMultiplyCiphertexts: 1207587 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47328 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25746 ns
ServerComputation:ParallelMultiplyCiphertexts: 1199909 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47059 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27581 ns
ServerComputation:ParallelMultiplyCiphertexts: 1214231 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45226 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25664 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200784 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49491 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25708 ns
ServerComputation:ParallelMultiplyCiphertexts: 1239010 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49269 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26435 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204553 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48592 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26643 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176929 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52003 ns
