Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 5133 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 54310 ns
ServerComputation:ParallelMultiplyCiphertexts: 1117288 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 56362 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26847 ns
ServerComputation:ParallelMultiplyCiphertexts: 1148570 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49129 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28439 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181963 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46272 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29252 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193714 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45269 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28888 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179314 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46446 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29287 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179224 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45637 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28072 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184627 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44945 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29483 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190408 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45606 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28677 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189793 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47086 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24858 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200890 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44947 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24901 ns
ServerComputation:ParallelMultiplyCiphertexts: 1208834 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45561 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25677 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177002 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44084 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27646 ns
ServerComputation:ParallelMultiplyCiphertexts: 1215425 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50830 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24404 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180072 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45230 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25873 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195697 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44132 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24714 ns
ServerComputation:ParallelMultiplyCiphertexts: 1201537 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44566 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24374 ns
ServerComputation:ParallelMultiplyCiphertexts: 1163133 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44141 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24598 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171057 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41736 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28851 ns
ServerComputation:ParallelMultiplyCiphertexts: 1160855 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46609 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24827 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184068 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45698 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25996 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198685 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45077 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23755 ns
ServerComputation:ParallelMultiplyCiphertexts: 1154350 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44700 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25218 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180910 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42291 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24569 ns
ServerComputation:ParallelMultiplyCiphertexts: 1166255 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42867 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25703 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204704 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43338 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23702 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180110 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50495 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22245 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191339 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42714 ns
ClientServerCommunication:SendData: 21353474 ns
ServerComputation:ConvertPID2BIDs: 2290 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 49461 ns
ServerComputation:ParallelMultiplyCiphertexts: 1122244 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 60344 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26717 ns
ServerComputation:ParallelMultiplyCiphertexts: 1099056 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47796 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29632 ns
ServerComputation:ParallelMultiplyCiphertexts: 1211604 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47411 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28851 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184135 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44112 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29077 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185469 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46182 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29018 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184343 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43703 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27987 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185207 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44683 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28570 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194673 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47227 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28529 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187846 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45941 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23619 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187848 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44002 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26366 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180561 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44757 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25095 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186893 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47790 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28040 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202502 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43456 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24800 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202123 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47371 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24342 ns
ServerComputation:ParallelMultiplyCiphertexts: 1227359 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45808 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23451 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193083 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48630 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25421 ns
ServerComputation:ParallelMultiplyCiphertexts: 1166178 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44816 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26054 ns
ServerComputation:ParallelMultiplyCiphertexts: 1212573 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44868 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26394 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192836 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44153 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26288 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191833 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46945 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25330 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178352 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44269 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29064 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174853 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46013 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24902 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194549 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44454 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23972 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204145 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45593 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25939 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179760 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43444 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24733 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203980 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41281 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23873 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185272 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41348 ns
ClientServerCommunication:SendData: 18078237 ns
ServerComputation:ConvertPID2BIDs: 3352 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 52347 ns
ServerComputation:ParallelMultiplyCiphertexts: 1100205 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52407 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25254 ns
ServerComputation:ParallelMultiplyCiphertexts: 1257229 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46382 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27669 ns
ServerComputation:ParallelMultiplyCiphertexts: 1139877 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44915 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29203 ns
ServerComputation:ParallelMultiplyCiphertexts: 1210268 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44078 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29457 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177601 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43847 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29186 ns
ServerComputation:ParallelMultiplyCiphertexts: 1151387 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48146 ns
