Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 6708 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 66044 ns
ServerComputation:ParallelMultiplyCiphertexts: 1118629 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 62475 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27358 ns
ServerComputation:ParallelMultiplyCiphertexts: 1155320 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47536 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 36942 ns
ServerComputation:ParallelMultiplyCiphertexts: 1147444 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52596 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31558 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188328 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48032 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 36708 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183139 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47442 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31449 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171671 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47286 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29021 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193590 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47201 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30993 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191083 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47452 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 35295 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196335 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48029 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29731 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198765 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49437 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29134 ns
ServerComputation:ParallelMultiplyCiphertexts: 1201919 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47672 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26914 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178319 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45694 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28456 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195925 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49111 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28534 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186643 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45366 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28270 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192300 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46726 ns
ClientServerCommunication:SendData: 18541033 ns
ServerComputation:ConvertPID2BIDs: 5172 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 59555 ns
ServerComputation:ParallelMultiplyCiphertexts: 1119283 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 53901 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32108 ns
ServerComputation:ParallelMultiplyCiphertexts: 1128020 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46707 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32246 ns
ServerComputation:ParallelMultiplyCiphertexts: 1134282 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46476 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 33634 ns
ServerComputation:ParallelMultiplyCiphertexts: 1164611 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46636 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32682 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184063 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48081 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 35960 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193056 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47478 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31506 ns
ServerComputation:ParallelMultiplyCiphertexts: 1154378 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47790 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32280 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187317 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48451 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 36037 ns
ServerComputation:ParallelMultiplyCiphertexts: 1165512 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47517 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 35824 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205564 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47234 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 35641 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178805 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47488 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 39406 ns
ServerComputation:ParallelMultiplyCiphertexts: 1210429 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48224 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27980 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193353 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44795 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24285 ns
ServerComputation:ParallelMultiplyCiphertexts: 1132479 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42738 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21833 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172501 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41803 ns
ClientServerCommunication:SendData: 17923436 ns
ServerComputation:ConvertPID2BIDs: 5373 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 57634 ns
ServerComputation:ParallelMultiplyCiphertexts: 1108345 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 54798 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32564 ns
ServerComputation:ParallelMultiplyCiphertexts: 1154295 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50319 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32274 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184564 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47448 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 37227 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175950 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48507 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 37497 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193917 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48906 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 36514 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186284 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50223 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 36361 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195926 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51500 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32560 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182103 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47484 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30602 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185486 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46727 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31316 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197027 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46423 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 43658 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197844 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49053 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31772 ns
ServerComputation:ParallelMultiplyCiphertexts: 1224848 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49619 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29695 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193225 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46064 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28161 ns
ServerComputation:ParallelMultiplyCiphertexts: 1165216 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46213 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24720 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187117 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42230 ns
ClientServerCommunication:SendData: 18287125 ns
ServerComputation:ConvertPID2BIDs: 1928 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 55145 ns
ServerComputation:ParallelMultiplyCiphertexts: 1113366 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 54410 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27978 ns
ServerComputation:ParallelMultiplyCiphertexts: 1164709 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48035 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30858 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179512 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45828 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32465 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177255 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45302 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32293 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197749 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44643 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32113 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200819 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47640 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31551 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188301 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48474 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30952 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202883 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49868 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32753 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179710 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46446 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31828 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173031 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47671 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31665 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183683 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48283 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 32007 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177270 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46488 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27705 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202866 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42156 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29389 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184654 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44477 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24287 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175963 ns
