Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 5276 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 51973 ns
ServerComputation:ParallelMultiplyCiphertexts: 1121464 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 57015 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24891 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183825 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49040 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29151 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177766 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46972 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29353 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183991 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48597 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 31427 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175244 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47802 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29513 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173139 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47755 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29570 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185524 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48615 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28228 ns
ServerComputation:ParallelMultiplyCiphertexts: 1201568 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47409 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28356 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196951 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49874 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30221 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198073 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45840 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27475 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194145 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47296 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29190 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175501 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46858 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25613 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194139 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47925 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26690 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178602 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45344 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24724 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196935 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45418 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25822 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196416 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49855 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24081 ns
ServerComputation:ParallelMultiplyCiphertexts: 1216317 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45374 ns
ClientServerCommunication:SendData: 19248978 ns
ServerComputation:ConvertPID2BIDs: 1957 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 45640 ns
ServerComputation:ParallelMultiplyCiphertexts: 1100547 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49975 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25580 ns
ServerComputation:ParallelMultiplyCiphertexts: 1169583 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47246 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29555 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188146 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51072 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30544 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191915 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50217 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28603 ns
ServerComputation:ParallelMultiplyCiphertexts: 1151782 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45358 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29496 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180055 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48157 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28532 ns
ServerComputation:ParallelMultiplyCiphertexts: 1159822 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49986 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28093 ns
ServerComputation:ParallelMultiplyCiphertexts: 1199172 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45435 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29374 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182606 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45754 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28116 ns
ServerComputation:ParallelMultiplyCiphertexts: 1206972 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46546 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 33174 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189235 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47423 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28394 ns
ServerComputation:ParallelMultiplyCiphertexts: 1129073 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46993 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28270 ns
ServerComputation:ParallelMultiplyCiphertexts: 1213138 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46461 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25848 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179348 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46461 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25192 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185514 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42967 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24064 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179602 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44245 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23028 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171981 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44221 ns
ClientServerCommunication:SendData: 22732305 ns
ServerComputation:ConvertPID2BIDs: 1843 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 49836 ns
ServerComputation:ParallelMultiplyCiphertexts: 1122425 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52482 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25904 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178740 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45138 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30629 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189298 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46942 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30406 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185626 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48743 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29076 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188886 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 52530 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29217 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196898 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51144 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27283 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194314 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48725 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28480 ns
ServerComputation:ParallelMultiplyCiphertexts: 1224850 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47963 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28162 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194261 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46668 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28295 ns
ServerComputation:ParallelMultiplyCiphertexts: 1168288 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47598 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28469 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205109 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48285 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27649 ns
ServerComputation:ParallelMultiplyCiphertexts: 1184367 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47260 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26981 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193328 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45344 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26319 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176300 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44781 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25574 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174173 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44980 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24573 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192307 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44507 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23241 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198304 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43073 ns
ClientServerCommunication:SendData: 17991375 ns
ServerComputation:ConvertPID2BIDs: 4177 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 51160 ns
ServerComputation:ParallelMultiplyCiphertexts: 1112346 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50507 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25934 ns
ServerComputation:ParallelMultiplyCiphertexts: 1208012 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48385 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29065 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181534 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45992 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30472 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171540 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48337 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28986 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183505 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46288 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30249 ns
ServerComputation:ParallelMultiplyCiphertexts: 1171008 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48341 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27466 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198706 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47484 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30318 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178182 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46354 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29017 ns
ServerComputation:ParallelMultiplyCiphertexts: 1144429 ns
