Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 7728 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 51271 ns
ServerComputation:ParallelMultiplyCiphertexts: 1118048 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 58089 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24472 ns
ServerComputation:ParallelMultiplyCiphertexts: 1145005 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44490 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22743 ns
ServerComputation:ParallelMultiplyCiphertexts: 1145179 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43953 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25375 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189992 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44716 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29364 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172060 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44636 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29162 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172792 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46834 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27505 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179712 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44743 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28788 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204930 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46658 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28740 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186880 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46038 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26786 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202096 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44752 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23039 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198242 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43248 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21641 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178120 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41380 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26406 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195733 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47408 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26753 ns
ServerComputation:ParallelMultiplyCiphertexts: 1170170 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43121 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23943 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198267 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42268 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22978 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186817 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42299 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21457 ns
ServerComputation:ParallelMultiplyCiphertexts: 1159751 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43122 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21175 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186603 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41728 ns
ClientServerCommunication:SendData: 17800807 ns
ServerComputation:ConvertPID2BIDs: 1866 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 47476 ns
ServerComputation:ParallelMultiplyCiphertexts: 1096341 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50464 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23958 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205431 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42634 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24292 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195073 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43397 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25377 ns
ServerComputation:ParallelMultiplyCiphertexts: 1154083 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42781 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23810 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179069 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45270 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 29110 ns
ServerComputation:ParallelMultiplyCiphertexts: 1160787 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44724 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27392 ns
ServerComputation:ParallelMultiplyCiphertexts: 1202746 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46047 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27087 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181590 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45594 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27612 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203626 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45478 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25019 ns
ServerComputation:ParallelMultiplyCiphertexts: 1197233 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45552 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24022 ns
ServerComputation:ParallelMultiplyCiphertexts: 1128878 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43938 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23034 ns
ServerComputation:ParallelMultiplyCiphertexts: 1215630 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43472 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25234 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182131 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42015 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23946 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178406 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46579 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25140 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186033 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42807 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22737 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174372 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43591 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 20822 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192665 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43613 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21707 ns
ServerComputation:ParallelMultiplyCiphertexts: 1178908 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41011 ns
ClientServerCommunication:SendData: 20369346 ns
ServerComputation:ConvertPID2BIDs: 5210 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 50288 ns
ServerComputation:ParallelMultiplyCiphertexts: 1117175 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51432 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24484 ns
ServerComputation:ParallelMultiplyCiphertexts: 1145746 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44850 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22904 ns
ServerComputation:ParallelMultiplyCiphertexts: 1144082 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42398 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25900 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193616 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44790 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24193 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188857 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47525 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28378 ns
ServerComputation:ParallelMultiplyCiphertexts: 1222123 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43742 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28472 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183890 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48062 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28750 ns
ServerComputation:ParallelMultiplyCiphertexts: 1164437 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48716 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27926 ns
ServerComputation:ParallelMultiplyCiphertexts: 1208451 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44896 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27840 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183340 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43835 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23329 ns
ServerComputation:ParallelMultiplyCiphertexts: 1194162 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45278 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22575 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196125 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43714 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26583 ns
ServerComputation:ParallelMultiplyCiphertexts: 1170398 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42454 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 30389 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192418 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44310 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21946 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190344 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45505 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23650 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174192 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43989 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22718 ns
ServerComputation:ParallelMultiplyCiphertexts: 1203127 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42966 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21468 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180795 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 41347 ns
ClientServerCommunication:SendData: 18751289 ns
ServerComputation:ConvertPID2BIDs: 1885 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 49361 ns
ServerComputation:ParallelMultiplyCiphertexts: 1097719 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49769 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25146 ns
ServerComputation:ParallelMultiplyCiphertexts: 1147081 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44451 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22563 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176998 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43934 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25755 ns
ServerComputation:ParallelMultiplyCiphertexts: 1198991 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44437 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25267 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181765 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43545 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 28723 ns
ServerComputation:ParallelMultiplyCiphertexts: 1147344 ns
