Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
ServerComputation:ConvertPID2BIDs: 11790 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 50966 ns
ServerComputation:ParallelMultiplyCiphertexts: 1122187 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 55957 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27825 ns
ServerComputation:ParallelMultiplyCiphertexts: 1147285 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48461 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25286 ns
ServerComputation:ParallelMultiplyCiphertexts: 1179100 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44638 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25469 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190574 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46312 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26427 ns
ServerComputation:ParallelMultiplyCiphertexts: 1176726 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 49858 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25224 ns
ServerComputation:ParallelMultiplyCiphertexts: 1173955 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45959 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24784 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181714 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47541 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26027 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191634 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45105 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25923 ns
ServerComputation:ParallelMultiplyCiphertexts: 1189264 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46310 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23488 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200040 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45898 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24760 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204021 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46568 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23939 ns
ServerComputation:ParallelMultiplyCiphertexts: 1177723 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47514 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23915 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196328 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45335 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22973 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175163 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44884 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25072 ns
ServerComputation:ParallelMultiplyCiphertexts: 1199230 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44546 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24791 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192783 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46461 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24791 ns
ServerComputation:ParallelMultiplyCiphertexts: 1157785 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44130 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22508 ns
ServerComputation:ParallelMultiplyCiphertexts: 1167259 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47658 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24040 ns
ServerComputation:ParallelMultiplyCiphertexts: 1158256 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44445 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23528 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188386 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42052 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 18925 ns
ServerComputation:ParallelMultiplyCiphertexts: 1193775 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 38878 ns
ClientServerCommunication:SendData: 19252066 ns
ServerComputation:ConvertPID2BIDs: 1927 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 48844 ns
ServerComputation:ParallelMultiplyCiphertexts: 1093866 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 51400 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27456 ns
ServerComputation:ParallelMultiplyCiphertexts: 1149345 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45417 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25879 ns
ServerComputation:ParallelMultiplyCiphertexts: 1130719 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46433 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25598 ns
ServerComputation:ParallelMultiplyCiphertexts: 1209522 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46471 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25291 ns
ServerComputation:ParallelMultiplyCiphertexts: 1185757 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47699 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26823 ns
ServerComputation:ParallelMultiplyCiphertexts: 1204317 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46813 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25555 ns
ServerComputation:ParallelMultiplyCiphertexts: 1195143 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46049 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25492 ns
ServerComputation:ParallelMultiplyCiphertexts: 1136291 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47134 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23932 ns
ServerComputation:ParallelMultiplyCiphertexts: 1213186 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42740 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23532 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183567 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45362 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25177 ns
ServerComputation:ParallelMultiplyCiphertexts: 1182955 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45826 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23845 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181753 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50021 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24883 ns
ServerComputation:ParallelMultiplyCiphertexts: 1180314 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48206 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23916 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190664 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47030 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22200 ns
ServerComputation:ParallelMultiplyCiphertexts: 1188526 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44446 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24179 ns
ServerComputation:ParallelMultiplyCiphertexts: 1190921 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44044 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25274 ns
ServerComputation:ParallelMultiplyCiphertexts: 1183756 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 40472 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23181 ns
ServerComputation:ParallelMultiplyCiphertexts: 1181997 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45217 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22469 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200796 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43184 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 21893 ns
ServerComputation:ParallelMultiplyCiphertexts: 1205523 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42637 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 19138 ns
ServerComputation:ParallelMultiplyCiphertexts: 1192234 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 39221 ns
ClientServerCommunication:SendData: 19246440 ns
ServerComputation:ConvertPID2BIDs: 6166 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 48143 ns
ServerComputation:ParallelMultiplyCiphertexts: 1120429 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 50272 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25056 ns
ServerComputation:ParallelMultiplyCiphertexts: 1098750 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44218 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 26021 ns
ServerComputation:ParallelMultiplyCiphertexts: 1174668 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46143 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24980 ns
ServerComputation:ParallelMultiplyCiphertexts: 1187860 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45914 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 27034 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191696 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46253 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25158 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175881 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46839 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25153 ns
ServerComputation:ParallelMultiplyCiphertexts: 1170718 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43713 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23519 ns
ServerComputation:ParallelMultiplyCiphertexts: 1196312 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44856 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23818 ns
ServerComputation:ParallelMultiplyCiphertexts: 1199374 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47231 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 25014 ns
ServerComputation:ParallelMultiplyCiphertexts: 1175556 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 47263 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24886 ns
ServerComputation:ParallelMultiplyCiphertexts: 1209172 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 43530 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22332 ns
ServerComputation:ParallelMultiplyCiphertexts: 1191584 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 46102 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24067 ns
ServerComputation:ParallelMultiplyCiphertexts: 1170951 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 48497 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24836 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186160 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45885 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23753 ns
ServerComputation:ParallelMultiplyCiphertexts: 1172699 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 45578 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 24152 ns
ServerComputation:ParallelMultiplyCiphertexts: 1200642 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 42198 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 23378 ns
ServerComputation:ParallelMultiplyCiphertexts: 1186470 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44494 ns
DiskIOLoadSingleBlockCiphertextFromDisk: 22152 ns
ServerComputation:ParallelMultiplyCiphertexts: 1149065 ns
DiskIOUpdateSingleBlockCiphertextToDisk: 44600 ns
