Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1348 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 76276212 ns
ClientServerCommunicationSendRootBucketData: 236894414 ns
ServerComputationParallelRerandomizeTripletBuckets: 22324606 ns
ServerComputationApplyPermutationTripletBucket: 2476962 ns
HelperComputationAll: 109131986 ns
ServerComputationParallelRerandomizeTripletBuckets: 17997928 ns
ServerComputationApplyPermutationTripletBuckets: 2413392 ns
HelperComputationAll: 91504854 ns
ServerComputationParallelRerandomizeTripletBuckets: 18941234 ns
ServerComputationApplyPermutationTripletBuckets: 1912292 ns
HelperComputationAll: 91459759 ns
ServerComputationParallelRerandomizeTripletBuckets: 21081059 ns
ServerComputationApplyPermutationTripletBuckets: 1907857 ns
HelperComputationAll: 91768947 ns
ServerComputationParallelRerandomizeTripletBuckets: 18324125 ns
ServerComputationApplyPermutationTripletBuckets: 1919279 ns
HelperComputationAll: 91518533 ns
ServerComputationParallelRerandomizeTripletBuckets: 18824319 ns
ServerComputationApplyPermutationTripletBuckets: 1912251 ns
HelperComputationAll: 91814116 ns
ServerComputationParallelRerandomizeTripletBuckets: 17806630 ns
ServerComputationApplyPermutationTripletBuckets: 1910066 ns
HelperComputationAll: 91321384 ns
ServerComputationParallelRerandomizeTripletBuckets: 23627215 ns
ServerComputationApplyPermutationTripletBuckets: 1903381 ns
HelperComputationAll: 91846268 ns
ServerComputationParallelRerandomizeTripletBuckets: 20098803 ns
ServerComputationApplyPermutationTripletBuckets: 1907041 ns
HelperComputationAll: 91403209 ns
ServerComputationParallelRerandomizeTripletBuckets: 17577931 ns
ServerComputationApplyPermutationTripletBuckets: 1883035 ns
HelperComputationAll: 92347626 ns
ServerComputationParallelRerandomizeTripletBuckets: 21875293 ns
ServerComputationApplyPermutationTripletBuckets: 1915785 ns
HelperComputationAll: 91607636 ns
ServerComputationParallelRerandomizeTripletBuckets: 23287377 ns
ServerComputationApplyPermutationTripletBuckets: 1901099 ns
HelperComputationAll: 91929819 ns
ServerComputationParallelRerandomizeTripletBuckets: 18183577 ns
ServerComputationApplyPermutationTripletBuckets: 1891470 ns
HelperComputationAll: 91519468 ns
ServerComputationParallelRerandomizeTripletBuckets: 19260444 ns
ServerComputationApplyPermutationTripletBuckets: 1914157 ns
HelperComputationAll: 91491722 ns
ServerComputationParallelRerandomizeTripletBuckets: 18045985 ns
ServerComputationApplyPermutationTripletBuckets: 1908814 ns
HelperComputationAll: 91820782 ns
ServerComputationParallelRerandomizeTripletBuckets: 18640299 ns
ServerComputationApplyPermutationTripletBuckets: 1902403 ns
HelperComputationAll: 91803464 ns
ServerComputationParallelRerandomizeTripletBuckets: 19773398 ns
ServerComputationApplyPermutationTripletBuckets: 1923324 ns
HelperComputationAll: 90985650 ns
ServerComputationParallelRerandomizeTripletBuckets: 21265025 ns
ServerComputationApplyPermutationTripletBuckets: 1898697 ns
HelperComputationAll: 91676790 ns
ServerComputationParallelRerandomizeTripletBuckets: 18320472 ns
ServerComputationApplyPermutationTripletBuckets: 1894183 ns
HelperComputationAll: 91530353 ns
DiskIOWriteBucketCiphertextsToDisk: 284613435 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1931 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 97451613 ns
ClientServerCommunicationSendRootBucketData: 440119943 ns
ServerComputationParallelRerandomizeTripletBuckets: 21837135 ns
ServerComputationApplyPermutationTripletBucket: 1879034 ns
HelperComputationAll: 110686787 ns
ServerComputationParallelRerandomizeTripletBuckets: 21209583 ns
ServerComputationApplyPermutationTripletBuckets: 1882146 ns
HelperComputationAll: 92286635 ns
ServerComputationParallelRerandomizeTripletBuckets: 20411267 ns
ServerComputationApplyPermutationTripletBuckets: 1903296 ns
HelperComputationAll: 92864283 ns
ServerComputationParallelRerandomizeTripletBuckets: 19852186 ns
ServerComputationApplyPermutationTripletBuckets: 1910888 ns
HelperComputationAll: 91783133 ns
ServerComputationParallelRerandomizeTripletBuckets: 22064575 ns
ServerComputationApplyPermutationTripletBuckets: 1931170 ns
HelperComputationAll: 92190402 ns
ServerComputationParallelRerandomizeTripletBuckets: 20966585 ns
ServerComputationApplyPermutationTripletBuckets: 1910963 ns
HelperComputationAll: 90520634 ns
ServerComputationParallelRerandomizeTripletBuckets: 16470868 ns
ServerComputationApplyPermutationTripletBuckets: 1886033 ns
HelperComputationAll: 93724312 ns
ServerComputationParallelRerandomizeTripletBuckets: 17092653 ns
ServerComputationApplyPermutationTripletBuckets: 1886130 ns
HelperComputationAll: 91134307 ns
ServerComputationParallelRerandomizeTripletBuckets: 24053338 ns
ServerComputationApplyPermutationTripletBuckets: 1895952 ns
HelperComputationAll: 91422399 ns
ServerComputationParallelRerandomizeTripletBuckets: 20071021 ns
ServerComputationApplyPermutationTripletBuckets: 2292614 ns
HelperComputationAll: 95451051 ns
ServerComputationParallelRerandomizeTripletBuckets: 20518168 ns
ServerComputationApplyPermutationTripletBuckets: 1887149 ns
HelperComputationAll: 93472661 ns
ServerComputationParallelRerandomizeTripletBuckets: 21526057 ns
ServerComputationApplyPermutationTripletBuckets: 1892187 ns
HelperComputationAll: 92213419 ns
ServerComputationParallelRerandomizeTripletBuckets: 17481721 ns
ServerComputationApplyPermutationTripletBuckets: 1889039 ns
HelperComputationAll: 97519601 ns
ServerComputationParallelRerandomizeTripletBuckets: 19765095 ns
ServerComputationApplyPermutationTripletBuckets: 1910964 ns
HelperComputationAll: 92330807 ns
ServerComputationParallelRerandomizeTripletBuckets: 20150961 ns
ServerComputationApplyPermutationTripletBuckets: 2190165 ns
HelperComputationAll: 91782879 ns
ServerComputationParallelRerandomizeTripletBuckets: 21480766 ns
ServerComputationApplyPermutationTripletBuckets: 1878382 ns
HelperComputationAll: 92342919 ns
ServerComputationParallelRerandomizeTripletBuckets: 18114756 ns
ServerComputationApplyPermutationTripletBuckets: 1912417 ns
HelperComputationAll: 94270233 ns
ServerComputationParallelRerandomizeTripletBuckets: 20602315 ns
ServerComputationApplyPermutationTripletBuckets: 1897345 ns
HelperComputationAll: 92759841 ns
ServerComputationParallelRerandomizeTripletBuckets: 20508844 ns
ServerComputationApplyPermutationTripletBuckets: 2193040 ns
HelperComputationAll: 92743493 ns
DiskIOWriteBucketCiphertextsToDisk: 270166106 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1868 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 95988758 ns
ClientServerCommunicationSendRootBucketData: 201454483 ns
ServerComputationParallelRerandomizeTripletBuckets: 22237287 ns
ServerComputationApplyPermutationTripletBucket: 1901241 ns
HelperComputationAll: 109384350 ns
ServerComputationParallelRerandomizeTripletBuckets: 21560819 ns
ServerComputationApplyPermutationTripletBuckets: 1912745 ns
HelperComputationAll: 92687578 ns
ServerComputationParallelRerandomizeTripletBuckets: 21832168 ns
ServerComputationApplyPermutationTripletBuckets: 1909358 ns
HelperComputationAll: 92418583 ns
ServerComputationParallelRerandomizeTripletBuckets: 17031564 ns
ServerComputationApplyPermutationTripletBuckets: 1903848 ns
HelperComputationAll: 92306750 ns
ServerComputationParallelRerandomizeTripletBuckets: 22283358 ns
ServerComputationApplyPermutationTripletBuckets: 1925607 ns
HelperComputationAll: 92306777 ns
ServerComputationParallelRerandomizeTripletBuckets: 22514966 ns
ServerComputationApplyPermutationTripletBuckets: 1900334 ns
HelperComputationAll: 93070941 ns
ServerComputationParallelRerandomizeTripletBuckets: 21405515 ns
ServerComputationApplyPermutationTripletBuckets: 1911596 ns
HelperComputationAll: 92082820 ns
ServerComputationParallelRerandomizeTripletBuckets: 21732877 ns
ServerComputationApplyPermutationTripletBuckets: 1906782 ns
HelperComputationAll: 92294538 ns
ServerComputationParallelRerandomizeTripletBuckets: 22055041 ns
ServerComputationApplyPermutationTripletBuckets: 1897834 ns
HelperComputationAll: 92178807 ns
ServerComputationParallelRerandomizeTripletBuckets: 21844474 ns
ServerComputationApplyPermutationTripletBuckets: 1895978 ns
HelperComputationAll: 91981779 ns
ServerComputationParallelRerandomizeTripletBuckets: 18162056 ns
ServerComputationApplyPermutationTripletBuckets: 1907270 ns
HelperComputationAll: 92165447 ns
ServerComputationParallelRerandomizeTripletBuckets: 21351962 ns
ServerComputationApplyPermutationTripletBuckets: 1912823 ns
HelperComputationAll: 92358834 ns
ServerComputationParallelRerandomizeTripletBuckets: 21233658 ns
ServerComputationApplyPermutationTripletBuckets: 1897100 ns
HelperComputationAll: 91935525 ns
ServerComputationParallelRerandomizeTripletBuckets: 22345865 ns
ServerComputationApplyPermutationTripletBuckets: 2170475 ns
HelperComputationAll: 91391381 ns
ServerComputationParallelRerandomizeTripletBuckets: 25426884 ns
ServerComputationApplyPermutationTripletBuckets: 1894306 ns
HelperComputationAll: 92498069 ns
ServerComputationParallelRerandomizeTripletBuckets: 21672344 ns
ServerComputationApplyPermutationTripletBuckets: 1874877 ns
HelperComputationAll: 92703794 ns
ServerComputationParallelRerandomizeTripletBuckets: 21170192 ns
ServerComputationApplyPermutationTripletBuckets: 1912753 ns
HelperComputationAll: 92944005 ns
ServerComputationParallelRerandomizeTripletBuckets: 19803618 ns
ServerComputationApplyPermutationTripletBuckets: 1894818 ns
HelperComputationAll: 92897726 ns
ServerComputationParallelRerandomizeTripletBuckets: 19974323 ns
ServerComputationApplyPermutationTripletBuckets: 1873014 ns
HelperComputationAll: 92593910 ns
DiskIOWriteBucketCiphertextsToDisk: 265843269 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1547 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 91219352 ns
ClientServerCommunicationSendRootBucketData: 224129644 ns
ServerComputationParallelRerandomizeTripletBuckets: 22077656 ns
ServerComputationApplyPermutationTripletBucket: 1850944 ns
HelperComputationAll: 110470860 ns
ServerComputationParallelRerandomizeTripletBuckets: 21507375 ns
ServerComputationApplyPermutationTripletBuckets: 1901222 ns
HelperComputationAll: 93684633 ns
ServerComputationParallelRerandomizeTripletBuckets: 23723156 ns
ServerComputationApplyPermutationTripletBuckets: 1904150 ns
HelperComputationAll: 93544553 ns
ServerComputationParallelRerandomizeTripletBuckets: 21815991 ns
ServerComputationApplyPermutationTripletBuckets: 1911462 ns
HelperComputationAll: 92027011 ns
ServerComputationParallelRerandomizeTripletBuckets: 21453365 ns
ServerComputationApplyPermutationTripletBuckets: 1889276 ns
HelperComputationAll: 92014719 ns
ServerComputationParallelRerandomizeTripletBuckets: 23526689 ns
ServerComputationApplyPermutationTripletBuckets: 1913900 ns
HelperComputationAll: 92767656 ns
ServerComputationParallelRerandomizeTripletBuckets: 20900388 ns
ServerComputationApplyPermutationTripletBuckets: 1923866 ns
HelperComputationAll: 91717291 ns
ServerComputationParallelRerandomizeTripletBuckets: 21391349 ns
ServerComputationApplyPermutationTripletBuckets: 1907211 ns
HelperComputationAll: 91567602 ns
ServerComputationParallelRerandomizeTripletBuckets: 21550129 ns
ServerComputationApplyPermutationTripletBuckets: 1913887 ns
HelperComputationAll: 91772057 ns
ServerComputationParallelRerandomizeTripletBuckets: 21454461 ns
ServerComputationApplyPermutationTripletBuckets: 1900311 ns
HelperComputationAll: 91370989 ns
ServerComputationParallelRerandomizeTripletBuckets: 19084877 ns
ServerComputationApplyPermutationTripletBuckets: 1872257 ns
HelperComputationAll: 91279585 ns
ServerComputationParallelRerandomizeTripletBuckets: 18706687 ns
ServerComputationApplyPermutationTripletBuckets: 1946770 ns
HelperComputationAll: 91636918 ns
ServerComputationParallelRerandomizeTripletBuckets: 21883685 ns
