Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1383 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 125445065 ns
ClientServerCommunicationSendRootBucketData: 447335746 ns
ServerComputationParallelRerandomizeTripletBuckets: 19976394 ns
ServerComputationApplyPermutationTripletBucket: 2483829 ns
HelperComputationAll: 108729647 ns
ServerComputationParallelRerandomizeTripletBuckets: 22503088 ns
ServerComputationApplyPermutationTripletBuckets: 2411760 ns
HelperComputationAll: 92939561 ns
ServerComputationParallelRerandomizeTripletBuckets: 16728520 ns
ServerComputationApplyPermutationTripletBuckets: 1920341 ns
HelperComputationAll: 92222590 ns
ServerComputationParallelRerandomizeTripletBuckets: 17197525 ns
ServerComputationApplyPermutationTripletBuckets: 1899873 ns
HelperComputationAll: 92197761 ns
ServerComputationParallelRerandomizeTripletBuckets: 17929229 ns
ServerComputationApplyPermutationTripletBuckets: 1895318 ns
HelperComputationAll: 92115722 ns
ServerComputationParallelRerandomizeTripletBuckets: 20467617 ns
ServerComputationApplyPermutationTripletBuckets: 1920909 ns
HelperComputationAll: 92043337 ns
ServerComputationParallelRerandomizeTripletBuckets: 19849487 ns
ServerComputationApplyPermutationTripletBuckets: 1910136 ns
HelperComputationAll: 90844786 ns
ServerComputationParallelRerandomizeTripletBuckets: 16502969 ns
ServerComputationApplyPermutationTripletBuckets: 1883653 ns
HelperComputationAll: 92139164 ns
ServerComputationParallelRerandomizeTripletBuckets: 22278561 ns
ServerComputationApplyPermutationTripletBuckets: 1929294 ns
HelperComputationAll: 92194898 ns
ServerComputationParallelRerandomizeTripletBuckets: 19785305 ns
ServerComputationApplyPermutationTripletBuckets: 1902518 ns
HelperComputationAll: 92393703 ns
ServerComputationParallelRerandomizeTripletBuckets: 21565506 ns
ServerComputationApplyPermutationTripletBuckets: 1896264 ns
HelperComputationAll: 92309375 ns
ServerComputationParallelRerandomizeTripletBuckets: 22516738 ns
ServerComputationApplyPermutationTripletBuckets: 1896403 ns
HelperComputationAll: 92411329 ns
ServerComputationParallelRerandomizeTripletBuckets: 21177380 ns
ServerComputationApplyPermutationTripletBuckets: 1886925 ns
HelperComputationAll: 92303805 ns
ServerComputationParallelRerandomizeTripletBuckets: 19567980 ns
ServerComputationApplyPermutationTripletBuckets: 1940980 ns
HelperComputationAll: 92416807 ns
ServerComputationParallelRerandomizeTripletBuckets: 20639114 ns
ServerComputationApplyPermutationTripletBuckets: 1867653 ns
HelperComputationAll: 92364152 ns
ServerComputationParallelRerandomizeTripletBuckets: 21500235 ns
ServerComputationApplyPermutationTripletBuckets: 1897925 ns
HelperComputationAll: 93803534 ns
ServerComputationParallelRerandomizeTripletBuckets: 16521829 ns
ServerComputationApplyPermutationTripletBuckets: 1891929 ns
HelperComputationAll: 92957413 ns
ServerComputationParallelRerandomizeTripletBuckets: 20121041 ns
ServerComputationApplyPermutationTripletBuckets: 1901800 ns
HelperComputationAll: 92189793 ns
ServerComputationParallelRerandomizeTripletBuckets: 23371257 ns
ServerComputationApplyPermutationTripletBuckets: 1913427 ns
HelperComputationAll: 92077676 ns
ServerComputationParallelRerandomizeTripletBuckets: 22636619 ns
ServerComputationApplyPermutationTripletBuckets: 1900849 ns
HelperComputationAll: 91949952 ns
ServerComputationParallelRerandomizeTripletBuckets: 17058347 ns
ServerComputationApplyPermutationTripletBuckets: 1888332 ns
HelperComputationAll: 92057739 ns
ServerComputationParallelRerandomizeTripletBuckets: 22795574 ns
ServerComputationApplyPermutationTripletBuckets: 1910242 ns
HelperComputationAll: 92147371 ns
ServerComputationParallelRerandomizeTripletBuckets: 22604682 ns
ServerComputationApplyPermutationTripletBuckets: 1905850 ns
HelperComputationAll: 92183711 ns
ServerComputationParallelRerandomizeTripletBuckets: 19285340 ns
ServerComputationApplyPermutationTripletBuckets: 1911525 ns
HelperComputationAll: 92214621 ns
DiskIOWriteBucketCiphertextsToDisk: 364420122 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1495 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 111296618 ns
ClientServerCommunicationSendRootBucketData: 221588786 ns
ServerComputationParallelRerandomizeTripletBuckets: 19298778 ns
ServerComputationApplyPermutationTripletBucket: 1880541 ns
HelperComputationAll: 109438170 ns
ServerComputationParallelRerandomizeTripletBuckets: 19994439 ns
ServerComputationApplyPermutationTripletBuckets: 1922731 ns
HelperComputationAll: 93401769 ns
ServerComputationParallelRerandomizeTripletBuckets: 17722485 ns
ServerComputationApplyPermutationTripletBuckets: 1887902 ns
HelperComputationAll: 93468168 ns
ServerComputationParallelRerandomizeTripletBuckets: 17664347 ns
ServerComputationApplyPermutationTripletBuckets: 1899184 ns
HelperComputationAll: 92897506 ns
ServerComputationParallelRerandomizeTripletBuckets: 17076394 ns
ServerComputationApplyPermutationTripletBuckets: 1879720 ns
HelperComputationAll: 92449664 ns
ServerComputationParallelRerandomizeTripletBuckets: 15732400 ns
ServerComputationApplyPermutationTripletBuckets: 1920819 ns
HelperComputationAll: 92231159 ns
ServerComputationParallelRerandomizeTripletBuckets: 19158839 ns
ServerComputationApplyPermutationTripletBuckets: 1896910 ns
HelperComputationAll: 92792821 ns
ServerComputationParallelRerandomizeTripletBuckets: 19655677 ns
ServerComputationApplyPermutationTripletBuckets: 1883669 ns
HelperComputationAll: 92017140 ns
ServerComputationParallelRerandomizeTripletBuckets: 14995221 ns
ServerComputationApplyPermutationTripletBuckets: 1897404 ns
HelperComputationAll: 92639560 ns
ServerComputationParallelRerandomizeTripletBuckets: 21842967 ns
ServerComputationApplyPermutationTripletBuckets: 1889502 ns
HelperComputationAll: 92543473 ns
ServerComputationParallelRerandomizeTripletBuckets: 22068873 ns
ServerComputationApplyPermutationTripletBuckets: 1898975 ns
HelperComputationAll: 92474762 ns
ServerComputationParallelRerandomizeTripletBuckets: 14546641 ns
ServerComputationApplyPermutationTripletBuckets: 1900740 ns
HelperComputationAll: 92369816 ns
ServerComputationParallelRerandomizeTripletBuckets: 21250965 ns
ServerComputationApplyPermutationTripletBuckets: 1871329 ns
HelperComputationAll: 92266603 ns
ServerComputationParallelRerandomizeTripletBuckets: 17127203 ns
ServerComputationApplyPermutationTripletBuckets: 1853103 ns
HelperComputationAll: 91814399 ns
ServerComputationParallelRerandomizeTripletBuckets: 20744668 ns
ServerComputationApplyPermutationTripletBuckets: 1885364 ns
HelperComputationAll: 91733346 ns
ServerComputationParallelRerandomizeTripletBuckets: 17672738 ns
ServerComputationApplyPermutationTripletBuckets: 1966905 ns
HelperComputationAll: 92973500 ns
ServerComputationParallelRerandomizeTripletBuckets: 18690679 ns
ServerComputationApplyPermutationTripletBuckets: 1897170 ns
HelperComputationAll: 93221846 ns
ServerComputationParallelRerandomizeTripletBuckets: 16512546 ns
ServerComputationApplyPermutationTripletBuckets: 1900651 ns
HelperComputationAll: 92414836 ns
ServerComputationParallelRerandomizeTripletBuckets: 20565613 ns
ServerComputationApplyPermutationTripletBuckets: 1892041 ns
HelperComputationAll: 92688688 ns
ServerComputationParallelRerandomizeTripletBuckets: 19213046 ns
ServerComputationApplyPermutationTripletBuckets: 1912878 ns
HelperComputationAll: 92208931 ns
ServerComputationParallelRerandomizeTripletBuckets: 18265168 ns
ServerComputationApplyPermutationTripletBuckets: 1891714 ns
HelperComputationAll: 92766606 ns
ServerComputationParallelRerandomizeTripletBuckets: 16126967 ns
ServerComputationApplyPermutationTripletBuckets: 1889997 ns
HelperComputationAll: 92990650 ns
ServerComputationParallelRerandomizeTripletBuckets: 21780546 ns
ServerComputationApplyPermutationTripletBuckets: 1901860 ns
HelperComputationAll: 93672345 ns
ServerComputationParallelRerandomizeTripletBuckets: 20065818 ns
ServerComputationApplyPermutationTripletBuckets: 1908394 ns
HelperComputationAll: 93198386 ns
DiskIOWriteBucketCiphertextsToDisk: 352616604 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1101 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 110711970 ns
ClientServerCommunicationSendRootBucketData: 467380996 ns
ServerComputationParallelRerandomizeTripletBuckets: 21875953 ns
ServerComputationApplyPermutationTripletBucket: 2102356 ns
HelperComputationAll: 109268689 ns
ServerComputationParallelRerandomizeTripletBuckets: 22119060 ns
ServerComputationApplyPermutationTripletBuckets: 1909604 ns
HelperComputationAll: 90780007 ns
ServerComputationParallelRerandomizeTripletBuckets: 17830605 ns
ServerComputationApplyPermutationTripletBuckets: 1871596 ns
HelperComputationAll: 91635455 ns
ServerComputationParallelRerandomizeTripletBuckets: 22132214 ns
ServerComputationApplyPermutationTripletBuckets: 1902863 ns
HelperComputationAll: 91197103 ns
ServerComputationParallelRerandomizeTripletBuckets: 21729488 ns
ServerComputationApplyPermutationTripletBuckets: 1878687 ns
HelperComputationAll: 91978403 ns
ServerComputationParallelRerandomizeTripletBuckets: 21098425 ns
ServerComputationApplyPermutationTripletBuckets: 1907680 ns
HelperComputationAll: 91602247 ns
ServerComputationParallelRerandomizeTripletBuckets: 22539522 ns
ServerComputationApplyPermutationTripletBuckets: 1896877 ns
HelperComputationAll: 92424571 ns
ServerComputationParallelRerandomizeTripletBuckets: 17840926 ns
ServerComputationApplyPermutationTripletBuckets: 1904059 ns
HelperComputationAll: 92363354 ns
ServerComputationParallelRerandomizeTripletBuckets: 17295098 ns
ServerComputationApplyPermutationTripletBuckets: 1910573 ns
HelperComputationAll: 92361443 ns
ServerComputationParallelRerandomizeTripletBuckets: 21963649 ns
ServerComputationApplyPermutationTripletBuckets: 1903886 ns
HelperComputationAll: 92687252 ns
ServerComputationParallelRerandomizeTripletBuckets: 19081624 ns
ServerComputationApplyPermutationTripletBuckets: 1884487 ns
HelperComputationAll: 92378570 ns
ServerComputationParallelRerandomizeTripletBuckets: 17867612 ns
ServerComputationApplyPermutationTripletBuckets: 1892092 ns
HelperComputationAll: 92405061 ns
ServerComputationParallelRerandomizeTripletBuckets: 17820725 ns
ServerComputationApplyPermutationTripletBuckets: 1874248 ns
HelperComputationAll: 91907577 ns
ServerComputationParallelRerandomizeTripletBuckets: 20066300 ns
ServerComputationApplyPermutationTripletBuckets: 1918507 ns
HelperComputationAll: 92269921 ns
ServerComputationParallelRerandomizeTripletBuckets: 20366933 ns
ServerComputationApplyPermutationTripletBuckets: 1897794 ns
HelperComputationAll: 91406803 ns
ServerComputationParallelRerandomizeTripletBuckets: 15079262 ns
ServerComputationApplyPermutationTripletBuckets: 1885220 ns
HelperComputationAll: 91512134 ns
ServerComputationParallelRerandomizeTripletBuckets: 15779766 ns
ServerComputationApplyPermutationTripletBuckets: 1904225 ns
HelperComputationAll: 92612071 ns
ServerComputationParallelRerandomizeTripletBuckets: 16958441 ns
ServerComputationApplyPermutationTripletBuckets: 1950114 ns
HelperComputationAll: 92609397 ns
ServerComputationParallelRerandomizeTripletBuckets: 18013624 ns
ServerComputationApplyPermutationTripletBuckets: 1898991 ns
HelperComputationAll: 91746474 ns
ServerComputationParallelRerandomizeTripletBuckets: 14720812 ns
ServerComputationApplyPermutationTripletBuckets: 1895170 ns
HelperComputationAll: 92177956 ns
ServerComputationParallelRerandomizeTripletBuckets: 15654602 ns
ServerComputationApplyPermutationTripletBuckets: 1888098 ns
HelperComputationAll: 92391793 ns
ServerComputationParallelRerandomizeTripletBuckets: 18354578 ns
ServerComputationApplyPermutationTripletBuckets: 1930710 ns
HelperComputationAll: 92323711 ns
ServerComputationParallelRerandomizeTripletBuckets: 19749394 ns
ServerComputationApplyPermutationTripletBuckets: 2125596 ns
HelperComputationAll: 92808395 ns
