Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1520 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 96492002 ns
ClientServerCommunicationSendRootBucketData: 390587343 ns
ServerComputationParallelRerandomizeTripletBuckets: 17889355 ns
ServerComputationApplyPermutationTripletBucket: 2499701 ns
HelperComputationAll: 132121542 ns
ServerComputationParallelRerandomizeTripletBuckets: 16883176 ns
ServerComputationApplyPermutationTripletBuckets: 2315652 ns
HelperComputationAll: 116052981 ns
ServerComputationParallelRerandomizeTripletBuckets: 17136515 ns
ServerComputationApplyPermutationTripletBuckets: 1898314 ns
HelperComputationAll: 114900085 ns
ServerComputationParallelRerandomizeTripletBuckets: 17124424 ns
ServerComputationApplyPermutationTripletBuckets: 1904652 ns
HelperComputationAll: 115496920 ns
ServerComputationParallelRerandomizeTripletBuckets: 19904968 ns
ServerComputationApplyPermutationTripletBuckets: 1922624 ns
HelperComputationAll: 98193542 ns
ServerComputationParallelRerandomizeTripletBuckets: 18540004 ns
ServerComputationApplyPermutationTripletBuckets: 2180554 ns
HelperComputationAll: 91667224 ns
ServerComputationParallelRerandomizeTripletBuckets: 19256208 ns
ServerComputationApplyPermutationTripletBuckets: 1898378 ns
HelperComputationAll: 90430620 ns
ServerComputationParallelRerandomizeTripletBuckets: 19435859 ns
ServerComputationApplyPermutationTripletBuckets: 1904817 ns
HelperComputationAll: 90248287 ns
ServerComputationParallelRerandomizeTripletBuckets: 17164408 ns
ServerComputationApplyPermutationTripletBuckets: 2155289 ns
HelperComputationAll: 91252445 ns
ServerComputationParallelRerandomizeTripletBuckets: 15968757 ns
ServerComputationApplyPermutationTripletBuckets: 1907434 ns
HelperComputationAll: 90183021 ns
ServerComputationParallelRerandomizeTripletBuckets: 18818351 ns
ServerComputationApplyPermutationTripletBuckets: 1925344 ns
HelperComputationAll: 90297185 ns
ServerComputationParallelRerandomizeTripletBuckets: 21250215 ns
ServerComputationApplyPermutationTripletBuckets: 2282678 ns
HelperComputationAll: 90386910 ns
ServerComputationParallelRerandomizeTripletBuckets: 20486969 ns
ServerComputationApplyPermutationTripletBuckets: 1912604 ns
HelperComputationAll: 92371245 ns
ServerComputationParallelRerandomizeTripletBuckets: 19785719 ns
ServerComputationApplyPermutationTripletBuckets: 2158036 ns
HelperComputationAll: 92636268 ns
ServerComputationParallelRerandomizeTripletBuckets: 20194936 ns
ServerComputationApplyPermutationTripletBuckets: 1887246 ns
HelperComputationAll: 92322975 ns
ServerComputationParallelRerandomizeTripletBuckets: 21025147 ns
ServerComputationApplyPermutationTripletBuckets: 1883938 ns
HelperComputationAll: 92211363 ns
ServerComputationParallelRerandomizeTripletBuckets: 20116783 ns
ServerComputationApplyPermutationTripletBuckets: 1900017 ns
HelperComputationAll: 92324302 ns
ServerComputationParallelRerandomizeTripletBuckets: 20719262 ns
ServerComputationApplyPermutationTripletBuckets: 2183137 ns
HelperComputationAll: 92658473 ns
ServerComputationParallelRerandomizeTripletBuckets: 20229405 ns
ServerComputationApplyPermutationTripletBuckets: 1894493 ns
HelperComputationAll: 92308975 ns
ServerComputationParallelRerandomizeTripletBuckets: 21807494 ns
ServerComputationApplyPermutationTripletBuckets: 1888221 ns
HelperComputationAll: 92201503 ns
ServerComputationParallelRerandomizeTripletBuckets: 20004649 ns
ServerComputationApplyPermutationTripletBuckets: 1874314 ns
HelperComputationAll: 92236033 ns
ServerComputationParallelRerandomizeTripletBuckets: 19727533 ns
ServerComputationApplyPermutationTripletBuckets: 1866387 ns
HelperComputationAll: 92219821 ns
ServerComputationParallelRerandomizeTripletBuckets: 22292680 ns
ServerComputationApplyPermutationTripletBuckets: 1902702 ns
HelperComputationAll: 92460661 ns
DiskIOWriteBucketCiphertextsToDisk: 337615979 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1470 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 112850712 ns
ClientServerCommunicationSendRootBucketData: 242762946 ns
ServerComputationParallelRerandomizeTripletBuckets: 20982123 ns
ServerComputationApplyPermutationTripletBucket: 2169662 ns
HelperComputationAll: 109886056 ns
ServerComputationParallelRerandomizeTripletBuckets: 19822201 ns
ServerComputationApplyPermutationTripletBuckets: 2157116 ns
HelperComputationAll: 96559331 ns
ServerComputationParallelRerandomizeTripletBuckets: 21762123 ns
ServerComputationApplyPermutationTripletBuckets: 1890545 ns
HelperComputationAll: 95159688 ns
ServerComputationParallelRerandomizeTripletBuckets: 19600037 ns
ServerComputationApplyPermutationTripletBuckets: 1899405 ns
HelperComputationAll: 95659607 ns
ServerComputationParallelRerandomizeTripletBuckets: 18568551 ns
ServerComputationApplyPermutationTripletBuckets: 1895864 ns
HelperComputationAll: 95882194 ns
ServerComputationParallelRerandomizeTripletBuckets: 19462541 ns
ServerComputationApplyPermutationTripletBuckets: 1906646 ns
HelperComputationAll: 94942303 ns
ServerComputationParallelRerandomizeTripletBuckets: 19078146 ns
ServerComputationApplyPermutationTripletBuckets: 1904198 ns
HelperComputationAll: 96690736 ns
ServerComputationParallelRerandomizeTripletBuckets: 19946287 ns
ServerComputationApplyPermutationTripletBuckets: 1901634 ns
HelperComputationAll: 97005695 ns
ServerComputationParallelRerandomizeTripletBuckets: 20000529 ns
ServerComputationApplyPermutationTripletBuckets: 1923529 ns
HelperComputationAll: 97099529 ns
ServerComputationParallelRerandomizeTripletBuckets: 17726023 ns
ServerComputationApplyPermutationTripletBuckets: 1886206 ns
HelperComputationAll: 96493569 ns
ServerComputationParallelRerandomizeTripletBuckets: 19380735 ns
ServerComputationApplyPermutationTripletBuckets: 1918854 ns
HelperComputationAll: 96853620 ns
ServerComputationParallelRerandomizeTripletBuckets: 17708235 ns
ServerComputationApplyPermutationTripletBuckets: 1889722 ns
HelperComputationAll: 97026165 ns
ServerComputationParallelRerandomizeTripletBuckets: 20652168 ns
ServerComputationApplyPermutationTripletBuckets: 1909111 ns
HelperComputationAll: 96541392 ns
ServerComputationParallelRerandomizeTripletBuckets: 16096154 ns
ServerComputationApplyPermutationTripletBuckets: 1890514 ns
HelperComputationAll: 95434189 ns
ServerComputationParallelRerandomizeTripletBuckets: 19485415 ns
ServerComputationApplyPermutationTripletBuckets: 2158430 ns
HelperComputationAll: 95590394 ns
ServerComputationParallelRerandomizeTripletBuckets: 22824447 ns
ServerComputationApplyPermutationTripletBuckets: 1884005 ns
HelperComputationAll: 95107267 ns
ServerComputationParallelRerandomizeTripletBuckets: 22834849 ns
ServerComputationApplyPermutationTripletBuckets: 1899657 ns
HelperComputationAll: 95400933 ns
ServerComputationParallelRerandomizeTripletBuckets: 17584121 ns
ServerComputationApplyPermutationTripletBuckets: 1903063 ns
HelperComputationAll: 95516374 ns
ServerComputationParallelRerandomizeTripletBuckets: 17320183 ns
ServerComputationApplyPermutationTripletBuckets: 1926585 ns
HelperComputationAll: 94112740 ns
ServerComputationParallelRerandomizeTripletBuckets: 22307069 ns
ServerComputationApplyPermutationTripletBuckets: 1926588 ns
HelperComputationAll: 95541169 ns
ServerComputationParallelRerandomizeTripletBuckets: 14661755 ns
ServerComputationApplyPermutationTripletBuckets: 1919711 ns
HelperComputationAll: 95805575 ns
ServerComputationParallelRerandomizeTripletBuckets: 19799839 ns
ServerComputationApplyPermutationTripletBuckets: 2174738 ns
HelperComputationAll: 95814386 ns
ServerComputationParallelRerandomizeTripletBuckets: 18777579 ns
ServerComputationApplyPermutationTripletBuckets: 1909438 ns
HelperComputationAll: 95773849 ns
DiskIOWriteBucketCiphertextsToDisk: 329308564 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1118 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 104383010 ns
ClientServerCommunicationSendRootBucketData: 345051571 ns
ServerComputationParallelRerandomizeTripletBuckets: 21880046 ns
ServerComputationApplyPermutationTripletBucket: 2112416 ns
HelperComputationAll: 112448865 ns
ServerComputationParallelRerandomizeTripletBuckets: 19774763 ns
ServerComputationApplyPermutationTripletBuckets: 1989503 ns
HelperComputationAll: 94549328 ns
ServerComputationParallelRerandomizeTripletBuckets: 17402615 ns
ServerComputationApplyPermutationTripletBuckets: 1903447 ns
HelperComputationAll: 95283054 ns
ServerComputationParallelRerandomizeTripletBuckets: 19444832 ns
ServerComputationApplyPermutationTripletBuckets: 1905529 ns
HelperComputationAll: 95061663 ns
ServerComputationParallelRerandomizeTripletBuckets: 22924717 ns
ServerComputationApplyPermutationTripletBuckets: 1893154 ns
HelperComputationAll: 95099679 ns
ServerComputationParallelRerandomizeTripletBuckets: 20820694 ns
ServerComputationApplyPermutationTripletBuckets: 1920588 ns
HelperComputationAll: 95722108 ns
ServerComputationParallelRerandomizeTripletBuckets: 19682846 ns
ServerComputationApplyPermutationTripletBuckets: 1907645 ns
HelperComputationAll: 95298455 ns
ServerComputationParallelRerandomizeTripletBuckets: 17118851 ns
ServerComputationApplyPermutationTripletBuckets: 1894338 ns
HelperComputationAll: 95209473 ns
ServerComputationParallelRerandomizeTripletBuckets: 20199969 ns
ServerComputationApplyPermutationTripletBuckets: 1916748 ns
HelperComputationAll: 95352837 ns
ServerComputationParallelRerandomizeTripletBuckets: 19548699 ns
ServerComputationApplyPermutationTripletBuckets: 1910598 ns
HelperComputationAll: 95059564 ns
ServerComputationParallelRerandomizeTripletBuckets: 20059570 ns
ServerComputationApplyPermutationTripletBuckets: 1896146 ns
HelperComputationAll: 95392324 ns
ServerComputationParallelRerandomizeTripletBuckets: 19340389 ns
ServerComputationApplyPermutationTripletBuckets: 1895465 ns
HelperComputationAll: 95191754 ns
ServerComputationParallelRerandomizeTripletBuckets: 21279911 ns
ServerComputationApplyPermutationTripletBuckets: 1904594 ns
HelperComputationAll: 95245693 ns
ServerComputationParallelRerandomizeTripletBuckets: 20831919 ns
ServerComputationApplyPermutationTripletBuckets: 1913565 ns
HelperComputationAll: 95799400 ns
ServerComputationParallelRerandomizeTripletBuckets: 21054440 ns
ServerComputationApplyPermutationTripletBuckets: 1902574 ns
HelperComputationAll: 94714834 ns
ServerComputationParallelRerandomizeTripletBuckets: 19598700 ns
ServerComputationApplyPermutationTripletBuckets: 1916669 ns
HelperComputationAll: 95855647 ns
ServerComputationParallelRerandomizeTripletBuckets: 19961211 ns
ServerComputationApplyPermutationTripletBuckets: 2101003 ns
HelperComputationAll: 95839069 ns
ServerComputationParallelRerandomizeTripletBuckets: 22307471 ns
ServerComputationApplyPermutationTripletBuckets: 1912216 ns
HelperComputationAll: 95390182 ns
ServerComputationParallelRerandomizeTripletBuckets: 21352159 ns
ServerComputationApplyPermutationTripletBuckets: 1894595 ns
HelperComputationAll: 95435915 ns
ServerComputationParallelRerandomizeTripletBuckets: 22751547 ns
ServerComputationApplyPermutationTripletBuckets: 1900747 ns
HelperComputationAll: 94351568 ns
ServerComputationParallelRerandomizeTripletBuckets: 19386500 ns
ServerComputationApplyPermutationTripletBuckets: 1909022 ns
HelperComputationAll: 95736943 ns
ServerComputationParallelRerandomizeTripletBuckets: 17953057 ns
ServerComputationApplyPermutationTripletBuckets: 1892350 ns
HelperComputationAll: 95827650 ns
ServerComputationParallelRerandomizeTripletBuckets: 15711393 ns
ServerComputationApplyPermutationTripletBuckets: 1923120 ns
HelperComputationAll: 95670502 ns
DiskIOWriteBucketCiphertextsToDisk: 332046007 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1768 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 103654712 ns
ClientServerCommunicationSendRootBucketData: 260295362 ns
ServerComputationParallelRerandomizeTripletBuckets: 19344125 ns
