Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1723 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 74136399 ns
ClientServerCommunicationSendRootBucketData: 452253583 ns
ServerComputationParallelRerandomizeTripletBuckets: 20719403 ns
ServerComputationApplyPermutationTripletBucket: 2433341 ns
HelperComputationAll: 109243791 ns
ServerComputationParallelRerandomizeTripletBuckets: 19222373 ns
ServerComputationApplyPermutationTripletBuckets: 2371388 ns
HelperComputationAll: 91724238 ns
ServerComputationParallelRerandomizeTripletBuckets: 21084827 ns
ServerComputationApplyPermutationTripletBuckets: 1894758 ns
HelperComputationAll: 91624603 ns
ServerComputationParallelRerandomizeTripletBuckets: 18104622 ns
ServerComputationApplyPermutationTripletBuckets: 1927249 ns
HelperComputationAll: 91212747 ns
ServerComputationParallelRerandomizeTripletBuckets: 18431858 ns
ServerComputationApplyPermutationTripletBuckets: 1902192 ns
HelperComputationAll: 91651545 ns
ServerComputationParallelRerandomizeTripletBuckets: 17740628 ns
ServerComputationApplyPermutationTripletBuckets: 1898570 ns
HelperComputationAll: 90836369 ns
ServerComputationParallelRerandomizeTripletBuckets: 19151362 ns
ServerComputationApplyPermutationTripletBuckets: 1904448 ns
HelperComputationAll: 89098801 ns
ServerComputationParallelRerandomizeTripletBuckets: 16633521 ns
ServerComputationApplyPermutationTripletBuckets: 1920003 ns
HelperComputationAll: 90829314 ns
ServerComputationParallelRerandomizeTripletBuckets: 18908676 ns
ServerComputationApplyPermutationTripletBuckets: 1902928 ns
HelperComputationAll: 90479192 ns
ServerComputationParallelRerandomizeTripletBuckets: 20644620 ns
ServerComputationApplyPermutationTripletBuckets: 1881196 ns
HelperComputationAll: 89242224 ns
ServerComputationParallelRerandomizeTripletBuckets: 18517024 ns
ServerComputationApplyPermutationTripletBuckets: 1894902 ns
HelperComputationAll: 90343656 ns
ServerComputationParallelRerandomizeTripletBuckets: 19344564 ns
ServerComputationApplyPermutationTripletBuckets: 1874371 ns
HelperComputationAll: 89690583 ns
ServerComputationParallelRerandomizeTripletBuckets: 17053764 ns
ServerComputationApplyPermutationTripletBuckets: 1902271 ns
HelperComputationAll: 91452574 ns
ServerComputationParallelRerandomizeTripletBuckets: 17267574 ns
ServerComputationApplyPermutationTripletBuckets: 1888171 ns
HelperComputationAll: 90959145 ns
ServerComputationParallelRerandomizeTripletBuckets: 19309188 ns
ServerComputationApplyPermutationTripletBuckets: 1901975 ns
HelperComputationAll: 90595943 ns
ServerComputationParallelRerandomizeTripletBuckets: 17270485 ns
ServerComputationApplyPermutationTripletBuckets: 1900211 ns
HelperComputationAll: 89676233 ns
ServerComputationParallelRerandomizeTripletBuckets: 21168015 ns
ServerComputationApplyPermutationTripletBuckets: 1901328 ns
HelperComputationAll: 89989281 ns
ServerComputationParallelRerandomizeTripletBuckets: 20176792 ns
ServerComputationApplyPermutationTripletBuckets: 1901576 ns
HelperComputationAll: 89629149 ns
ServerComputationParallelRerandomizeTripletBuckets: 18997191 ns
ServerComputationApplyPermutationTripletBuckets: 1896086 ns
HelperComputationAll: 90434213 ns
ServerComputationParallelRerandomizeTripletBuckets: 19411233 ns
ServerComputationApplyPermutationTripletBuckets: 1919470 ns
HelperComputationAll: 90073924 ns
DiskIOWriteBucketCiphertextsToDisk: 292874726 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1078 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 96117897 ns
ClientServerCommunicationSendRootBucketData: 236094341 ns
ServerComputationParallelRerandomizeTripletBuckets: 21285364 ns
ServerComputationApplyPermutationTripletBucket: 1897536 ns
HelperComputationAll: 110034749 ns
ServerComputationParallelRerandomizeTripletBuckets: 17442573 ns
ServerComputationApplyPermutationTripletBuckets: 1889911 ns
HelperComputationAll: 93440446 ns
ServerComputationParallelRerandomizeTripletBuckets: 21171472 ns
ServerComputationApplyPermutationTripletBuckets: 1957045 ns
HelperComputationAll: 93039089 ns
ServerComputationParallelRerandomizeTripletBuckets: 18211961 ns
ServerComputationApplyPermutationTripletBuckets: 1904197 ns
HelperComputationAll: 93472766 ns
ServerComputationParallelRerandomizeTripletBuckets: 15871908 ns
ServerComputationApplyPermutationTripletBuckets: 1902921 ns
HelperComputationAll: 93166161 ns
ServerComputationParallelRerandomizeTripletBuckets: 18537125 ns
ServerComputationApplyPermutationTripletBuckets: 1906334 ns
HelperComputationAll: 91996480 ns
ServerComputationParallelRerandomizeTripletBuckets: 20267660 ns
ServerComputationApplyPermutationTripletBuckets: 1905860 ns
HelperComputationAll: 92931286 ns
ServerComputationParallelRerandomizeTripletBuckets: 17114007 ns
ServerComputationApplyPermutationTripletBuckets: 1892994 ns
HelperComputationAll: 92852698 ns
ServerComputationParallelRerandomizeTripletBuckets: 19824759 ns
ServerComputationApplyPermutationTripletBuckets: 1912321 ns
HelperComputationAll: 92896003 ns
ServerComputationParallelRerandomizeTripletBuckets: 18239702 ns
ServerComputationApplyPermutationTripletBuckets: 1905238 ns
HelperComputationAll: 92792015 ns
ServerComputationParallelRerandomizeTripletBuckets: 19456513 ns
ServerComputationApplyPermutationTripletBuckets: 1909276 ns
HelperComputationAll: 92748191 ns
ServerComputationParallelRerandomizeTripletBuckets: 22068313 ns
ServerComputationApplyPermutationTripletBuckets: 1900686 ns
HelperComputationAll: 92770835 ns
ServerComputationParallelRerandomizeTripletBuckets: 19298646 ns
ServerComputationApplyPermutationTripletBuckets: 1893613 ns
HelperComputationAll: 92861562 ns
ServerComputationParallelRerandomizeTripletBuckets: 15980873 ns
ServerComputationApplyPermutationTripletBuckets: 1899191 ns
HelperComputationAll: 92830427 ns
ServerComputationParallelRerandomizeTripletBuckets: 19696103 ns
ServerComputationApplyPermutationTripletBuckets: 1919002 ns
HelperComputationAll: 94384049 ns
ServerComputationParallelRerandomizeTripletBuckets: 21197846 ns
ServerComputationApplyPermutationTripletBuckets: 1923485 ns
HelperComputationAll: 92053962 ns
ServerComputationParallelRerandomizeTripletBuckets: 23557765 ns
ServerComputationApplyPermutationTripletBuckets: 1886076 ns
HelperComputationAll: 93884041 ns
ServerComputationParallelRerandomizeTripletBuckets: 18523175 ns
ServerComputationApplyPermutationTripletBuckets: 2143881 ns
HelperComputationAll: 93638462 ns
ServerComputationParallelRerandomizeTripletBuckets: 17160927 ns
ServerComputationApplyPermutationTripletBuckets: 1896395 ns
HelperComputationAll: 93671260 ns
ServerComputationParallelRerandomizeTripletBuckets: 21480885 ns
ServerComputationApplyPermutationTripletBuckets: 1915655 ns
HelperComputationAll: 93948255 ns
DiskIOWriteBucketCiphertextsToDisk: 289168956 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1125 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 98423912 ns
ClientServerCommunicationSendRootBucketData: 470218162 ns
ServerComputationParallelRerandomizeTripletBuckets: 20568028 ns
ServerComputationApplyPermutationTripletBucket: 1879761 ns
HelperComputationAll: 109724217 ns
ServerComputationParallelRerandomizeTripletBuckets: 17160031 ns
ServerComputationApplyPermutationTripletBuckets: 1870080 ns
HelperComputationAll: 92391782 ns
ServerComputationParallelRerandomizeTripletBuckets: 19062419 ns
ServerComputationApplyPermutationTripletBuckets: 1886225 ns
HelperComputationAll: 92626449 ns
ServerComputationParallelRerandomizeTripletBuckets: 19097681 ns
ServerComputationApplyPermutationTripletBuckets: 1898666 ns
HelperComputationAll: 93895801 ns
ServerComputationParallelRerandomizeTripletBuckets: 22058273 ns
ServerComputationApplyPermutationTripletBuckets: 1899683 ns
HelperComputationAll: 93098221 ns
ServerComputationParallelRerandomizeTripletBuckets: 15998464 ns
ServerComputationApplyPermutationTripletBuckets: 1917614 ns
HelperComputationAll: 93616317 ns
ServerComputationParallelRerandomizeTripletBuckets: 18511019 ns
ServerComputationApplyPermutationTripletBuckets: 1911605 ns
HelperComputationAll: 93105354 ns
ServerComputationParallelRerandomizeTripletBuckets: 20667509 ns
ServerComputationApplyPermutationTripletBuckets: 1932135 ns
HelperComputationAll: 93124941 ns
ServerComputationParallelRerandomizeTripletBuckets: 16922665 ns
ServerComputationApplyPermutationTripletBuckets: 1898603 ns
HelperComputationAll: 93112848 ns
ServerComputationParallelRerandomizeTripletBuckets: 21028294 ns
ServerComputationApplyPermutationTripletBuckets: 1898651 ns
HelperComputationAll: 94092964 ns
ServerComputationParallelRerandomizeTripletBuckets: 18309051 ns
ServerComputationApplyPermutationTripletBuckets: 1886782 ns
HelperComputationAll: 93162539 ns
ServerComputationParallelRerandomizeTripletBuckets: 21346352 ns
ServerComputationApplyPermutationTripletBuckets: 1917557 ns
HelperComputationAll: 93177513 ns
ServerComputationParallelRerandomizeTripletBuckets: 20427791 ns
ServerComputationApplyPermutationTripletBuckets: 1909375 ns
HelperComputationAll: 93285371 ns
ServerComputationParallelRerandomizeTripletBuckets: 22291478 ns
ServerComputationApplyPermutationTripletBuckets: 1893953 ns
HelperComputationAll: 92941204 ns
ServerComputationParallelRerandomizeTripletBuckets: 21911588 ns
ServerComputationApplyPermutationTripletBuckets: 1895238 ns
HelperComputationAll: 92723084 ns
ServerComputationParallelRerandomizeTripletBuckets: 31584377 ns
ServerComputationApplyPermutationTripletBuckets: 2147420 ns
HelperComputationAll: 92939208 ns
ServerComputationParallelRerandomizeTripletBuckets: 16407868 ns
ServerComputationApplyPermutationTripletBuckets: 1903815 ns
HelperComputationAll: 92124443 ns
ServerComputationParallelRerandomizeTripletBuckets: 16824119 ns
ServerComputationApplyPermutationTripletBuckets: 1892364 ns
HelperComputationAll: 93288654 ns
ServerComputationParallelRerandomizeTripletBuckets: 16715136 ns
ServerComputationApplyPermutationTripletBuckets: 1906894 ns
HelperComputationAll: 93608069 ns
ServerComputationParallelRerandomizeTripletBuckets: 22200328 ns
ServerComputationApplyPermutationTripletBuckets: 1894935 ns
HelperComputationAll: 93421252 ns
DiskIOWriteBucketCiphertextsToDisk: 282498829 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1095 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 94798890 ns
ClientServerCommunicationSendRootBucketData: 438135724 ns
ServerComputationParallelRerandomizeTripletBuckets: 19244374 ns
ServerComputationApplyPermutationTripletBucket: 1853726 ns
HelperComputationAll: 108366608 ns
ServerComputationParallelRerandomizeTripletBuckets: 16272694 ns
ServerComputationApplyPermutationTripletBuckets: 1905659 ns
HelperComputationAll: 89736886 ns
ServerComputationParallelRerandomizeTripletBuckets: 17817486 ns
ServerComputationApplyPermutationTripletBuckets: 1829437 ns
HelperComputationAll: 90259034 ns
ServerComputationParallelRerandomizeTripletBuckets: 17058280 ns
ServerComputationApplyPermutationTripletBuckets: 1826867 ns
HelperComputationAll: 92035468 ns
ServerComputationParallelRerandomizeTripletBuckets: 19914861 ns
ServerComputationApplyPermutationTripletBuckets: 1850911 ns
HelperComputationAll: 90506911 ns
ServerComputationParallelRerandomizeTripletBuckets: 19583300 ns
ServerComputationApplyPermutationTripletBuckets: 2011670 ns
HelperComputationAll: 91934209 ns
ServerComputationParallelRerandomizeTripletBuckets: 20421801 ns
ServerComputationApplyPermutationTripletBuckets: 1893300 ns
HelperComputationAll: 91650795 ns
ServerComputationParallelRerandomizeTripletBuckets: 19737175 ns
ServerComputationApplyPermutationTripletBuckets: 1902847 ns
HelperComputationAll: 92793299 ns
ServerComputationParallelRerandomizeTripletBuckets: 20602700 ns
ServerComputationApplyPermutationTripletBuckets: 1911651 ns
HelperComputationAll: 91744251 ns
ServerComputationParallelRerandomizeTripletBuckets: 18989047 ns
