Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1183 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 59327386 ns
ClientServerCommunicationSendRootBucketData: 360177322 ns
ServerComputationParallelRerandomizeTripletBuckets: 20510232 ns
ServerComputationApplyPermutationTripletBucket: 2528495 ns
HelperComputationAll: 121832893 ns
ServerComputationParallelRerandomizeTripletBuckets: 19019367 ns
ServerComputationApplyPermutationTripletBuckets: 2417637 ns
HelperComputationAll: 105522597 ns
ServerComputationParallelRerandomizeTripletBuckets: 19724747 ns
ServerComputationApplyPermutationTripletBuckets: 1887920 ns
HelperComputationAll: 105260217 ns
ServerComputationParallelRerandomizeTripletBuckets: 20254672 ns
ServerComputationApplyPermutationTripletBuckets: 1878276 ns
HelperComputationAll: 91910876 ns
ServerComputationParallelRerandomizeTripletBuckets: 18799343 ns
ServerComputationApplyPermutationTripletBuckets: 1907822 ns
HelperComputationAll: 92306181 ns
ServerComputationParallelRerandomizeTripletBuckets: 18929093 ns
ServerComputationApplyPermutationTripletBuckets: 1915953 ns
HelperComputationAll: 92070278 ns
ServerComputationParallelRerandomizeTripletBuckets: 21953199 ns
ServerComputationApplyPermutationTripletBuckets: 1903009 ns
HelperComputationAll: 91437271 ns
ServerComputationParallelRerandomizeTripletBuckets: 19157218 ns
ServerComputationApplyPermutationTripletBuckets: 1911225 ns
HelperComputationAll: 91557929 ns
ServerComputationParallelRerandomizeTripletBuckets: 19016264 ns
ServerComputationApplyPermutationTripletBuckets: 1879386 ns
HelperComputationAll: 91568264 ns
ServerComputationParallelRerandomizeTripletBuckets: 18972014 ns
ServerComputationApplyPermutationTripletBuckets: 1927168 ns
HelperComputationAll: 91805946 ns
ServerComputationParallelRerandomizeTripletBuckets: 19833371 ns
ServerComputationApplyPermutationTripletBuckets: 1902216 ns
HelperComputationAll: 100962823 ns
ServerComputationParallelRerandomizeTripletBuckets: 20341826 ns
ServerComputationApplyPermutationTripletBuckets: 2208735 ns
HelperComputationAll: 91650332 ns
ServerComputationParallelRerandomizeTripletBuckets: 19098562 ns
ServerComputationApplyPermutationTripletBuckets: 1898764 ns
HelperComputationAll: 91659093 ns
ServerComputationParallelRerandomizeTripletBuckets: 21252831 ns
ServerComputationApplyPermutationTripletBuckets: 1912929 ns
HelperComputationAll: 91614014 ns
DiskIOWriteBucketCiphertextsToDisk: 262392574 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1438 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 65654796 ns
ClientServerCommunicationSendRootBucketData: 223553564 ns
ServerComputationParallelRerandomizeTripletBuckets: 18333729 ns
ServerComputationApplyPermutationTripletBucket: 1892327 ns
HelperComputationAll: 109199091 ns
ServerComputationParallelRerandomizeTripletBuckets: 19189080 ns
ServerComputationApplyPermutationTripletBuckets: 1903648 ns
HelperComputationAll: 92349056 ns
ServerComputationParallelRerandomizeTripletBuckets: 18219544 ns
ServerComputationApplyPermutationTripletBuckets: 1902487 ns
HelperComputationAll: 91318962 ns
ServerComputationParallelRerandomizeTripletBuckets: 18256079 ns
ServerComputationApplyPermutationTripletBuckets: 1902226 ns
HelperComputationAll: 93372615 ns
ServerComputationParallelRerandomizeTripletBuckets: 19112572 ns
ServerComputationApplyPermutationTripletBuckets: 1917806 ns
HelperComputationAll: 92786758 ns
ServerComputationParallelRerandomizeTripletBuckets: 22902376 ns
ServerComputationApplyPermutationTripletBuckets: 1888210 ns
HelperComputationAll: 91684453 ns
ServerComputationParallelRerandomizeTripletBuckets: 21563778 ns
ServerComputationApplyPermutationTripletBuckets: 1890123 ns
HelperComputationAll: 91516060 ns
ServerComputationParallelRerandomizeTripletBuckets: 20846445 ns
ServerComputationApplyPermutationTripletBuckets: 1910474 ns
HelperComputationAll: 91559002 ns
ServerComputationParallelRerandomizeTripletBuckets: 20444562 ns
ServerComputationApplyPermutationTripletBuckets: 1931906 ns
HelperComputationAll: 92831503 ns
ServerComputationParallelRerandomizeTripletBuckets: 21570103 ns
ServerComputationApplyPermutationTripletBuckets: 1895830 ns
HelperComputationAll: 91644667 ns
ServerComputationParallelRerandomizeTripletBuckets: 20390728 ns
ServerComputationApplyPermutationTripletBuckets: 1895939 ns
HelperComputationAll: 91419944 ns
ServerComputationParallelRerandomizeTripletBuckets: 18748723 ns
ServerComputationApplyPermutationTripletBuckets: 1892754 ns
HelperComputationAll: 92151595 ns
ServerComputationParallelRerandomizeTripletBuckets: 21726130 ns
ServerComputationApplyPermutationTripletBuckets: 2204275 ns
HelperComputationAll: 91605703 ns
ServerComputationParallelRerandomizeTripletBuckets: 19667521 ns
ServerComputationApplyPermutationTripletBuckets: 1890298 ns
HelperComputationAll: 92275391 ns
DiskIOWriteBucketCiphertextsToDisk: 193418877 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1393 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 65302400 ns
ClientServerCommunicationSendRootBucketData: 217898311 ns
ServerComputationParallelRerandomizeTripletBuckets: 22702575 ns
ServerComputationApplyPermutationTripletBucket: 1890952 ns
HelperComputationAll: 107737063 ns
ServerComputationParallelRerandomizeTripletBuckets: 19912893 ns
ServerComputationApplyPermutationTripletBuckets: 1900184 ns
HelperComputationAll: 89731116 ns
ServerComputationParallelRerandomizeTripletBuckets: 18109637 ns
ServerComputationApplyPermutationTripletBuckets: 1903838 ns
HelperComputationAll: 91094151 ns
ServerComputationParallelRerandomizeTripletBuckets: 22834988 ns
ServerComputationApplyPermutationTripletBuckets: 1902443 ns
HelperComputationAll: 92154633 ns
ServerComputationParallelRerandomizeTripletBuckets: 21078903 ns
ServerComputationApplyPermutationTripletBuckets: 1919237 ns
HelperComputationAll: 91384384 ns
ServerComputationParallelRerandomizeTripletBuckets: 18671649 ns
ServerComputationApplyPermutationTripletBuckets: 1901548 ns
HelperComputationAll: 90513181 ns
ServerComputationParallelRerandomizeTripletBuckets: 17773240 ns
ServerComputationApplyPermutationTripletBuckets: 1908503 ns
HelperComputationAll: 91367846 ns
ServerComputationParallelRerandomizeTripletBuckets: 24694294 ns
ServerComputationApplyPermutationTripletBuckets: 2225572 ns
HelperComputationAll: 90158639 ns
ServerComputationParallelRerandomizeTripletBuckets: 19585071 ns
ServerComputationApplyPermutationTripletBuckets: 1905639 ns
HelperComputationAll: 90198375 ns
ServerComputationParallelRerandomizeTripletBuckets: 19319643 ns
ServerComputationApplyPermutationTripletBuckets: 1913737 ns
HelperComputationAll: 90094162 ns
ServerComputationParallelRerandomizeTripletBuckets: 23078914 ns
ServerComputationApplyPermutationTripletBuckets: 1887214 ns
HelperComputationAll: 90374518 ns
ServerComputationParallelRerandomizeTripletBuckets: 18471093 ns
ServerComputationApplyPermutationTripletBuckets: 1879828 ns
HelperComputationAll: 90009004 ns
ServerComputationParallelRerandomizeTripletBuckets: 19910293 ns
ServerComputationApplyPermutationTripletBuckets: 1890354 ns
HelperComputationAll: 89992561 ns
ServerComputationParallelRerandomizeTripletBuckets: 18461761 ns
ServerComputationApplyPermutationTripletBuckets: 1895474 ns
HelperComputationAll: 91869553 ns
DiskIOWriteBucketCiphertextsToDisk: 205533113 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1050 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 68220173 ns
ClientServerCommunicationSendRootBucketData: 408114645 ns
ServerComputationParallelRerandomizeTripletBuckets: 19563881 ns
ServerComputationApplyPermutationTripletBucket: 2209887 ns
HelperComputationAll: 108237073 ns
ServerComputationParallelRerandomizeTripletBuckets: 19598080 ns
ServerComputationApplyPermutationTripletBuckets: 1920761 ns
HelperComputationAll: 93547613 ns
ServerComputationParallelRerandomizeTripletBuckets: 18527571 ns
ServerComputationApplyPermutationTripletBuckets: 1919973 ns
HelperComputationAll: 92613955 ns
ServerComputationParallelRerandomizeTripletBuckets: 18492726 ns
ServerComputationApplyPermutationTripletBuckets: 1930655 ns
HelperComputationAll: 93979870 ns
ServerComputationParallelRerandomizeTripletBuckets: 19759019 ns
ServerComputationApplyPermutationTripletBuckets: 1915544 ns
HelperComputationAll: 91993012 ns
ServerComputationParallelRerandomizeTripletBuckets: 19936527 ns
ServerComputationApplyPermutationTripletBuckets: 1894123 ns
HelperComputationAll: 92314544 ns
ServerComputationParallelRerandomizeTripletBuckets: 19741145 ns
ServerComputationApplyPermutationTripletBuckets: 1911817 ns
HelperComputationAll: 92420255 ns
ServerComputationParallelRerandomizeTripletBuckets: 18890210 ns
ServerComputationApplyPermutationTripletBuckets: 1915868 ns
HelperComputationAll: 92047420 ns
ServerComputationParallelRerandomizeTripletBuckets: 21728960 ns
ServerComputationApplyPermutationTripletBuckets: 1936991 ns
HelperComputationAll: 95051159 ns
ServerComputationParallelRerandomizeTripletBuckets: 22854009 ns
ServerComputationApplyPermutationTripletBuckets: 1907439 ns
HelperComputationAll: 93264368 ns
ServerComputationParallelRerandomizeTripletBuckets: 23202167 ns
ServerComputationApplyPermutationTripletBuckets: 1897732 ns
HelperComputationAll: 92402533 ns
ServerComputationParallelRerandomizeTripletBuckets: 19393178 ns
ServerComputationApplyPermutationTripletBuckets: 1901436 ns
HelperComputationAll: 92083518 ns
ServerComputationParallelRerandomizeTripletBuckets: 23650138 ns
ServerComputationApplyPermutationTripletBuckets: 1897055 ns
HelperComputationAll: 92140972 ns
ServerComputationParallelRerandomizeTripletBuckets: 19733904 ns
ServerComputationApplyPermutationTripletBuckets: 1915822 ns
HelperComputationAll: 92362837 ns
DiskIOWriteBucketCiphertextsToDisk: 192351988 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1729 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 61489116 ns
ClientServerCommunicationSendRootBucketData: 213695887 ns
ServerComputationParallelRerandomizeTripletBuckets: 19394757 ns
ServerComputationApplyPermutationTripletBucket: 2377568 ns
HelperComputationAll: 108380255 ns
ServerComputationParallelRerandomizeTripletBuckets: 19093885 ns
ServerComputationApplyPermutationTripletBuckets: 1919284 ns
HelperComputationAll: 91043978 ns
ServerComputationParallelRerandomizeTripletBuckets: 19752548 ns
ServerComputationApplyPermutationTripletBuckets: 1881349 ns
HelperComputationAll: 91601703 ns
ServerComputationParallelRerandomizeTripletBuckets: 19588175 ns
ServerComputationApplyPermutationTripletBuckets: 1895145 ns
HelperComputationAll: 93395703 ns
ServerComputationParallelRerandomizeTripletBuckets: 18495563 ns
ServerComputationApplyPermutationTripletBuckets: 1911084 ns
HelperComputationAll: 92103143 ns
ServerComputationParallelRerandomizeTripletBuckets: 18792408 ns
ServerComputationApplyPermutationTripletBuckets: 1934568 ns
HelperComputationAll: 91861891 ns
ServerComputationParallelRerandomizeTripletBuckets: 19448796 ns
ServerComputationApplyPermutationTripletBuckets: 1930098 ns
HelperComputationAll: 91735395 ns
ServerComputationParallelRerandomizeTripletBuckets: 22016737 ns
ServerComputationApplyPermutationTripletBuckets: 1904624 ns
HelperComputationAll: 93450107 ns
ServerComputationParallelRerandomizeTripletBuckets: 19563438 ns
ServerComputationApplyPermutationTripletBuckets: 1904831 ns
HelperComputationAll: 92651464 ns
ServerComputationParallelRerandomizeTripletBuckets: 18581250 ns
ServerComputationApplyPermutationTripletBuckets: 1890071 ns
HelperComputationAll: 91315888 ns
ServerComputationParallelRerandomizeTripletBuckets: 19452349 ns
ServerComputationApplyPermutationTripletBuckets: 1893391 ns
HelperComputationAll: 97387197 ns
ServerComputationParallelRerandomizeTripletBuckets: 19326798 ns
ServerComputationApplyPermutationTripletBuckets: 1897234 ns
HelperComputationAll: 93214636 ns
