Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1445 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 64487668 ns
ClientServerCommunicationSendRootBucketData: 243470059 ns
ServerComputationParallelRerandomizeTripletBuckets: 17095186 ns
ServerComputationApplyPermutationTripletBucket: 2445475 ns
HelperComputationAll: 122365047 ns
ServerComputationParallelRerandomizeTripletBuckets: 16876055 ns
ServerComputationApplyPermutationTripletBuckets: 2394685 ns
HelperComputationAll: 105793954 ns
ServerComputationParallelRerandomizeTripletBuckets: 16789909 ns
ServerComputationApplyPermutationTripletBuckets: 1912931 ns
HelperComputationAll: 104850332 ns
ServerComputationParallelRerandomizeTripletBuckets: 16857821 ns
ServerComputationApplyPermutationTripletBuckets: 1900493 ns
HelperComputationAll: 105383579 ns
ServerComputationParallelRerandomizeTripletBuckets: 16941678 ns
ServerComputationApplyPermutationTripletBuckets: 1894899 ns
HelperComputationAll: 104622095 ns
ServerComputationParallelRerandomizeTripletBuckets: 16808512 ns
ServerComputationApplyPermutationTripletBuckets: 1912388 ns
HelperComputationAll: 105831591 ns
ServerComputationParallelRerandomizeTripletBuckets: 16801864 ns
ServerComputationApplyPermutationTripletBuckets: 1929786 ns
HelperComputationAll: 104565735 ns
ServerComputationParallelRerandomizeTripletBuckets: 21963452 ns
ServerComputationApplyPermutationTripletBuckets: 1947192 ns
HelperComputationAll: 91407592 ns
ServerComputationParallelRerandomizeTripletBuckets: 19697439 ns
ServerComputationApplyPermutationTripletBuckets: 1905003 ns
HelperComputationAll: 91171547 ns
ServerComputationParallelRerandomizeTripletBuckets: 16309176 ns
ServerComputationApplyPermutationTripletBuckets: 1895052 ns
HelperComputationAll: 91268803 ns
ServerComputationParallelRerandomizeTripletBuckets: 19997777 ns
ServerComputationApplyPermutationTripletBuckets: 1921207 ns
HelperComputationAll: 91383822 ns
ServerComputationParallelRerandomizeTripletBuckets: 18093934 ns
ServerComputationApplyPermutationTripletBuckets: 1896873 ns
HelperComputationAll: 91367963 ns
ServerComputationParallelRerandomizeTripletBuckets: 18142521 ns
ServerComputationApplyPermutationTripletBuckets: 1932881 ns
HelperComputationAll: 91977140 ns
ServerComputationParallelRerandomizeTripletBuckets: 21186546 ns
ServerComputationApplyPermutationTripletBuckets: 1914804 ns
HelperComputationAll: 92262013 ns
ServerComputationParallelRerandomizeTripletBuckets: 29367880 ns
ServerComputationApplyPermutationTripletBuckets: 2184652 ns
HelperComputationAll: 91284245 ns
ServerComputationParallelRerandomizeTripletBuckets: 17292648 ns
ServerComputationApplyPermutationTripletBuckets: 1909174 ns
HelperComputationAll: 91272406 ns
ServerComputationParallelRerandomizeTripletBuckets: 19409196 ns
ServerComputationApplyPermutationTripletBuckets: 1885552 ns
HelperComputationAll: 91262314 ns
DiskIOWriteBucketCiphertextsToDisk: 244840590 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1605 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 88474841 ns
ClientServerCommunicationSendRootBucketData: 314397333 ns
ServerComputationParallelRerandomizeTripletBuckets: 19512290 ns
ServerComputationApplyPermutationTripletBucket: 1881596 ns
HelperComputationAll: 107553688 ns
ServerComputationParallelRerandomizeTripletBuckets: 23269058 ns
ServerComputationApplyPermutationTripletBuckets: 1910936 ns
HelperComputationAll: 92124580 ns
ServerComputationParallelRerandomizeTripletBuckets: 19324498 ns
ServerComputationApplyPermutationTripletBuckets: 1955487 ns
HelperComputationAll: 91414273 ns
ServerComputationParallelRerandomizeTripletBuckets: 20468495 ns
ServerComputationApplyPermutationTripletBuckets: 1911442 ns
HelperComputationAll: 92335852 ns
ServerComputationParallelRerandomizeTripletBuckets: 19587047 ns
ServerComputationApplyPermutationTripletBuckets: 1891879 ns
HelperComputationAll: 92736359 ns
ServerComputationParallelRerandomizeTripletBuckets: 14349583 ns
ServerComputationApplyPermutationTripletBuckets: 1924417 ns
HelperComputationAll: 92790917 ns
ServerComputationParallelRerandomizeTripletBuckets: 21769127 ns
ServerComputationApplyPermutationTripletBuckets: 1910577 ns
HelperComputationAll: 91208312 ns
ServerComputationParallelRerandomizeTripletBuckets: 20492991 ns
ServerComputationApplyPermutationTripletBuckets: 1921972 ns
HelperComputationAll: 91516410 ns
ServerComputationParallelRerandomizeTripletBuckets: 18967515 ns
ServerComputationApplyPermutationTripletBuckets: 1902307 ns
HelperComputationAll: 90790769 ns
ServerComputationParallelRerandomizeTripletBuckets: 15562727 ns
ServerComputationApplyPermutationTripletBuckets: 1897558 ns
HelperComputationAll: 90904204 ns
ServerComputationParallelRerandomizeTripletBuckets: 19528365 ns
ServerComputationApplyPermutationTripletBuckets: 2187465 ns
HelperComputationAll: 91126518 ns
ServerComputationParallelRerandomizeTripletBuckets: 19794536 ns
ServerComputationApplyPermutationTripletBuckets: 1906008 ns
HelperComputationAll: 90659609 ns
ServerComputationParallelRerandomizeTripletBuckets: 16873059 ns
ServerComputationApplyPermutationTripletBuckets: 1909262 ns
HelperComputationAll: 90729539 ns
ServerComputationParallelRerandomizeTripletBuckets: 17914509 ns
ServerComputationApplyPermutationTripletBuckets: 1927096 ns
HelperComputationAll: 90290930 ns
ServerComputationParallelRerandomizeTripletBuckets: 19222310 ns
ServerComputationApplyPermutationTripletBuckets: 1945015 ns
HelperComputationAll: 91941332 ns
ServerComputationParallelRerandomizeTripletBuckets: 19029197 ns
ServerComputationApplyPermutationTripletBuckets: 1920791 ns
HelperComputationAll: 91719044 ns
ServerComputationParallelRerandomizeTripletBuckets: 16449403 ns
ServerComputationApplyPermutationTripletBuckets: 1909890 ns
HelperComputationAll: 91899853 ns
DiskIOWriteBucketCiphertextsToDisk: 250170495 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1493 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 84461867 ns
ClientServerCommunicationSendRootBucketData: 335543317 ns
ServerComputationParallelRerandomizeTripletBuckets: 18370246 ns
ServerComputationApplyPermutationTripletBucket: 1888889 ns
HelperComputationAll: 108964142 ns
ServerComputationParallelRerandomizeTripletBuckets: 19448456 ns
ServerComputationApplyPermutationTripletBuckets: 1900356 ns
HelperComputationAll: 92592173 ns
ServerComputationParallelRerandomizeTripletBuckets: 15918498 ns
ServerComputationApplyPermutationTripletBuckets: 1883421 ns
HelperComputationAll: 92381599 ns
ServerComputationParallelRerandomizeTripletBuckets: 16948753 ns
ServerComputationApplyPermutationTripletBuckets: 1918314 ns
HelperComputationAll: 92981444 ns
ServerComputationParallelRerandomizeTripletBuckets: 17315879 ns
ServerComputationApplyPermutationTripletBuckets: 1923243 ns
HelperComputationAll: 92786720 ns
ServerComputationParallelRerandomizeTripletBuckets: 20668607 ns
ServerComputationApplyPermutationTripletBuckets: 1943599 ns
HelperComputationAll: 92920450 ns
ServerComputationParallelRerandomizeTripletBuckets: 20239242 ns
ServerComputationApplyPermutationTripletBuckets: 1901119 ns
HelperComputationAll: 93595367 ns
ServerComputationParallelRerandomizeTripletBuckets: 21357416 ns
ServerComputationApplyPermutationTripletBuckets: 1904154 ns
HelperComputationAll: 93480826 ns
ServerComputationParallelRerandomizeTripletBuckets: 20720795 ns
ServerComputationApplyPermutationTripletBuckets: 1884602 ns
HelperComputationAll: 93368813 ns
ServerComputationParallelRerandomizeTripletBuckets: 19511455 ns
ServerComputationApplyPermutationTripletBuckets: 1896948 ns
HelperComputationAll: 93790429 ns
ServerComputationParallelRerandomizeTripletBuckets: 19145138 ns
ServerComputationApplyPermutationTripletBuckets: 1891049 ns
HelperComputationAll: 93559763 ns
ServerComputationParallelRerandomizeTripletBuckets: 19423564 ns
ServerComputationApplyPermutationTripletBuckets: 1917084 ns
HelperComputationAll: 93320775 ns
ServerComputationParallelRerandomizeTripletBuckets: 16504518 ns
ServerComputationApplyPermutationTripletBuckets: 1904287 ns
HelperComputationAll: 93362087 ns
ServerComputationParallelRerandomizeTripletBuckets: 20710288 ns
ServerComputationApplyPermutationTripletBuckets: 1915957 ns
HelperComputationAll: 93209145 ns
ServerComputationParallelRerandomizeTripletBuckets: 19384955 ns
ServerComputationApplyPermutationTripletBuckets: 2032538 ns
HelperComputationAll: 93689797 ns
ServerComputationParallelRerandomizeTripletBuckets: 19332290 ns
ServerComputationApplyPermutationTripletBuckets: 1907301 ns
HelperComputationAll: 93717586 ns
ServerComputationParallelRerandomizeTripletBuckets: 17131776 ns
ServerComputationApplyPermutationTripletBuckets: 1888649 ns
HelperComputationAll: 93248381 ns
DiskIOWriteBucketCiphertextsToDisk: 252760751 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1755 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 81722142 ns
ClientServerCommunicationSendRootBucketData: 211874832 ns
ServerComputationParallelRerandomizeTripletBuckets: 23525923 ns
ServerComputationApplyPermutationTripletBucket: 1890615 ns
HelperComputationAll: 109058217 ns
ServerComputationParallelRerandomizeTripletBuckets: 18186700 ns
ServerComputationApplyPermutationTripletBuckets: 1886243 ns
HelperComputationAll: 92663270 ns
ServerComputationParallelRerandomizeTripletBuckets: 19698644 ns
ServerComputationApplyPermutationTripletBuckets: 1900834 ns
HelperComputationAll: 92275119 ns
ServerComputationParallelRerandomizeTripletBuckets: 17933536 ns
ServerComputationApplyPermutationTripletBuckets: 1889332 ns
HelperComputationAll: 92542835 ns
ServerComputationParallelRerandomizeTripletBuckets: 17212862 ns
ServerComputationApplyPermutationTripletBuckets: 1908148 ns
HelperComputationAll: 92025691 ns
ServerComputationParallelRerandomizeTripletBuckets: 19371245 ns
ServerComputationApplyPermutationTripletBuckets: 1899512 ns
HelperComputationAll: 92211225 ns
ServerComputationParallelRerandomizeTripletBuckets: 18827869 ns
ServerComputationApplyPermutationTripletBuckets: 1896028 ns
HelperComputationAll: 92676630 ns
ServerComputationParallelRerandomizeTripletBuckets: 19647066 ns
ServerComputationApplyPermutationTripletBuckets: 1912962 ns
HelperComputationAll: 92700695 ns
ServerComputationParallelRerandomizeTripletBuckets: 16734774 ns
ServerComputationApplyPermutationTripletBuckets: 1899799 ns
HelperComputationAll: 92622663 ns
ServerComputationParallelRerandomizeTripletBuckets: 19516892 ns
ServerComputationApplyPermutationTripletBuckets: 1910888 ns
HelperComputationAll: 92569199 ns
ServerComputationParallelRerandomizeTripletBuckets: 19295670 ns
ServerComputationApplyPermutationTripletBuckets: 2033433 ns
HelperComputationAll: 93312195 ns
ServerComputationParallelRerandomizeTripletBuckets: 19334132 ns
ServerComputationApplyPermutationTripletBuckets: 1910420 ns
HelperComputationAll: 92687530 ns
ServerComputationParallelRerandomizeTripletBuckets: 21773112 ns
ServerComputationApplyPermutationTripletBuckets: 1910090 ns
HelperComputationAll: 92577287 ns
ServerComputationParallelRerandomizeTripletBuckets: 17092008 ns
ServerComputationApplyPermutationTripletBuckets: 1882001 ns
HelperComputationAll: 92131928 ns
ServerComputationParallelRerandomizeTripletBuckets: 19078100 ns
ServerComputationApplyPermutationTripletBuckets: 1911815 ns
HelperComputationAll: 91546329 ns
ServerComputationParallelRerandomizeTripletBuckets: 19191241 ns
ServerComputationApplyPermutationTripletBuckets: 1929801 ns
HelperComputationAll: 92578953 ns
ServerComputationParallelRerandomizeTripletBuckets: 21936250 ns
ServerComputationApplyPermutationTripletBuckets: 1899135 ns
HelperComputationAll: 92672999 ns
DiskIOWriteBucketCiphertextsToDisk: 234795401 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1230 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 75848055 ns
ClientServerCommunicationSendRootBucketData: 207365854 ns
