Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1082 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 71052711 ns
ClientServerCommunicationSendRootBucketData: 332392331 ns
ServerComputationParallelRerandomizeTripletBuckets: 26979400 ns
ServerComputationApplyPermutationTripletBucket: 2431670 ns
HelperComputationAll: 123571479 ns
ServerComputationParallelRerandomizeTripletBuckets: 20230271 ns
ServerComputationApplyPermutationTripletBuckets: 2380666 ns
HelperComputationAll: 106839152 ns
ServerComputationParallelRerandomizeTripletBuckets: 19000064 ns
ServerComputationApplyPermutationTripletBuckets: 1912271 ns
HelperComputationAll: 106844791 ns
ServerComputationParallelRerandomizeTripletBuckets: 19211630 ns
ServerComputationApplyPermutationTripletBuckets: 1886248 ns
HelperComputationAll: 106533132 ns
ServerComputationParallelRerandomizeTripletBuckets: 20866878 ns
ServerComputationApplyPermutationTripletBuckets: 1886004 ns
HelperComputationAll: 105381111 ns
ServerComputationParallelRerandomizeTripletBuckets: 18982126 ns
ServerComputationApplyPermutationTripletBuckets: 1904413 ns
HelperComputationAll: 106248545 ns
ServerComputationParallelRerandomizeTripletBuckets: 18885683 ns
ServerComputationApplyPermutationTripletBuckets: 1892484 ns
HelperComputationAll: 105966452 ns
ServerComputationParallelRerandomizeTripletBuckets: 19197976 ns
ServerComputationApplyPermutationTripletBuckets: 1905404 ns
HelperComputationAll: 105710337 ns
ServerComputationParallelRerandomizeTripletBuckets: 21525785 ns
ServerComputationApplyPermutationTripletBuckets: 1913667 ns
HelperComputationAll: 105518501 ns
ServerComputationParallelRerandomizeTripletBuckets: 19319168 ns
ServerComputationApplyPermutationTripletBuckets: 1905581 ns
HelperComputationAll: 106204562 ns
ServerComputationParallelRerandomizeTripletBuckets: 19382821 ns
ServerComputationApplyPermutationTripletBuckets: 1886842 ns
HelperComputationAll: 105804565 ns
ServerComputationParallelRerandomizeTripletBuckets: 20146462 ns
ServerComputationApplyPermutationTripletBuckets: 1900186 ns
HelperComputationAll: 105577346 ns
ServerComputationParallelRerandomizeTripletBuckets: 21841048 ns
ServerComputationApplyPermutationTripletBuckets: 1890744 ns
HelperComputationAll: 106529926 ns
ServerComputationParallelRerandomizeTripletBuckets: 18911485 ns
ServerComputationApplyPermutationTripletBuckets: 1898801 ns
HelperComputationAll: 105689418 ns
ServerComputationParallelRerandomizeTripletBuckets: 20415341 ns
ServerComputationApplyPermutationTripletBuckets: 1891798 ns
HelperComputationAll: 105944419 ns
ServerComputationParallelRerandomizeTripletBuckets: 20195317 ns
ServerComputationApplyPermutationTripletBuckets: 1907989 ns
HelperComputationAll: 105881116 ns
ServerComputationParallelRerandomizeTripletBuckets: 20459835 ns
ServerComputationApplyPermutationTripletBuckets: 1891989 ns
HelperComputationAll: 106557248 ns
ServerComputationParallelRerandomizeTripletBuckets: 19205382 ns
ServerComputationApplyPermutationTripletBuckets: 1910832 ns
HelperComputationAll: 106534550 ns
DiskIOWriteBucketCiphertextsToDisk: 271525728 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1872 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 84694225 ns
ClientServerCommunicationSendRootBucketData: 320106219 ns
ServerComputationParallelRerandomizeTripletBuckets: 21635299 ns
ServerComputationApplyPermutationTripletBucket: 2189506 ns
HelperComputationAll: 104657873 ns
ServerComputationParallelRerandomizeTripletBuckets: 19062489 ns
ServerComputationApplyPermutationTripletBuckets: 2200916 ns
HelperComputationAll: 88747971 ns
ServerComputationParallelRerandomizeTripletBuckets: 20549623 ns
ServerComputationApplyPermutationTripletBuckets: 1905289 ns
HelperComputationAll: 88099711 ns
ServerComputationParallelRerandomizeTripletBuckets: 18383521 ns
ServerComputationApplyPermutationTripletBuckets: 1891864 ns
HelperComputationAll: 88272499 ns
ServerComputationParallelRerandomizeTripletBuckets: 19576424 ns
ServerComputationApplyPermutationTripletBuckets: 1910349 ns
HelperComputationAll: 88401739 ns
ServerComputationParallelRerandomizeTripletBuckets: 18710824 ns
ServerComputationApplyPermutationTripletBuckets: 1915009 ns
HelperComputationAll: 88324400 ns
ServerComputationParallelRerandomizeTripletBuckets: 19232104 ns
ServerComputationApplyPermutationTripletBuckets: 1911986 ns
HelperComputationAll: 88949139 ns
ServerComputationParallelRerandomizeTripletBuckets: 16785642 ns
ServerComputationApplyPermutationTripletBuckets: 1907695 ns
HelperComputationAll: 88935120 ns
ServerComputationParallelRerandomizeTripletBuckets: 22234478 ns
ServerComputationApplyPermutationTripletBuckets: 1912249 ns
HelperComputationAll: 88935614 ns
ServerComputationParallelRerandomizeTripletBuckets: 21514677 ns
ServerComputationApplyPermutationTripletBuckets: 1894584 ns
HelperComputationAll: 88879220 ns
ServerComputationParallelRerandomizeTripletBuckets: 17409129 ns
ServerComputationApplyPermutationTripletBuckets: 1907688 ns
HelperComputationAll: 88404119 ns
ServerComputationParallelRerandomizeTripletBuckets: 16766264 ns
ServerComputationApplyPermutationTripletBuckets: 1930823 ns
HelperComputationAll: 88519104 ns
ServerComputationParallelRerandomizeTripletBuckets: 20110230 ns
ServerComputationApplyPermutationTripletBuckets: 1935466 ns
HelperComputationAll: 88921427 ns
ServerComputationParallelRerandomizeTripletBuckets: 22341998 ns
ServerComputationApplyPermutationTripletBuckets: 1901620 ns
HelperComputationAll: 88834220 ns
ServerComputationParallelRerandomizeTripletBuckets: 21066914 ns
ServerComputationApplyPermutationTripletBuckets: 1900356 ns
HelperComputationAll: 89026286 ns
ServerComputationParallelRerandomizeTripletBuckets: 15757939 ns
ServerComputationApplyPermutationTripletBuckets: 1910030 ns
HelperComputationAll: 88537278 ns
ServerComputationParallelRerandomizeTripletBuckets: 20440339 ns
ServerComputationApplyPermutationTripletBuckets: 1942732 ns
HelperComputationAll: 88300847 ns
ServerComputationParallelRerandomizeTripletBuckets: 19577665 ns
ServerComputationApplyPermutationTripletBuckets: 1917996 ns
HelperComputationAll: 89871470 ns
DiskIOWriteBucketCiphertextsToDisk: 254387164 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1415 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 82124518 ns
ClientServerCommunicationSendRootBucketData: 292940374 ns
ServerComputationParallelRerandomizeTripletBuckets: 20709026 ns
ServerComputationApplyPermutationTripletBucket: 2195921 ns
HelperComputationAll: 108731948 ns
ServerComputationParallelRerandomizeTripletBuckets: 16701299 ns
ServerComputationApplyPermutationTripletBuckets: 1893790 ns
HelperComputationAll: 92230074 ns
ServerComputationParallelRerandomizeTripletBuckets: 15913242 ns
ServerComputationApplyPermutationTripletBuckets: 1901709 ns
HelperComputationAll: 92778212 ns
ServerComputationParallelRerandomizeTripletBuckets: 17440522 ns
ServerComputationApplyPermutationTripletBuckets: 1915975 ns
HelperComputationAll: 92768700 ns
ServerComputationParallelRerandomizeTripletBuckets: 18103091 ns
ServerComputationApplyPermutationTripletBuckets: 1897612 ns
HelperComputationAll: 93240299 ns
ServerComputationParallelRerandomizeTripletBuckets: 22276787 ns
ServerComputationApplyPermutationTripletBuckets: 1943668 ns
HelperComputationAll: 93456017 ns
ServerComputationParallelRerandomizeTripletBuckets: 21779864 ns
ServerComputationApplyPermutationTripletBuckets: 1908496 ns
HelperComputationAll: 93434903 ns
ServerComputationParallelRerandomizeTripletBuckets: 21487181 ns
ServerComputationApplyPermutationTripletBuckets: 1928340 ns
HelperComputationAll: 93539096 ns
ServerComputationParallelRerandomizeTripletBuckets: 21459711 ns
ServerComputationApplyPermutationTripletBuckets: 1920180 ns
HelperComputationAll: 93817367 ns
ServerComputationParallelRerandomizeTripletBuckets: 19303315 ns
ServerComputationApplyPermutationTripletBuckets: 1925742 ns
HelperComputationAll: 93409213 ns
ServerComputationParallelRerandomizeTripletBuckets: 16442272 ns
ServerComputationApplyPermutationTripletBuckets: 1917676 ns
HelperComputationAll: 93509524 ns
ServerComputationParallelRerandomizeTripletBuckets: 16003607 ns
ServerComputationApplyPermutationTripletBuckets: 1903136 ns
HelperComputationAll: 93624639 ns
ServerComputationParallelRerandomizeTripletBuckets: 20543969 ns
ServerComputationApplyPermutationTripletBuckets: 1929072 ns
HelperComputationAll: 93790683 ns
ServerComputationParallelRerandomizeTripletBuckets: 16986018 ns
ServerComputationApplyPermutationTripletBuckets: 1917529 ns
HelperComputationAll: 93265091 ns
ServerComputationParallelRerandomizeTripletBuckets: 16305047 ns
ServerComputationApplyPermutationTripletBuckets: 1923109 ns
HelperComputationAll: 91871129 ns
ServerComputationParallelRerandomizeTripletBuckets: 15735663 ns
ServerComputationApplyPermutationTripletBuckets: 1901531 ns
HelperComputationAll: 93312031 ns
ServerComputationParallelRerandomizeTripletBuckets: 20555985 ns
ServerComputationApplyPermutationTripletBuckets: 1928394 ns
HelperComputationAll: 93659929 ns
ServerComputationParallelRerandomizeTripletBuckets: 22345091 ns
ServerComputationApplyPermutationTripletBuckets: 1912985 ns
HelperComputationAll: 93960835 ns
DiskIOWriteBucketCiphertextsToDisk: 252257209 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1721 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 80643808 ns
ClientServerCommunicationSendRootBucketData: 332980913 ns
ServerComputationParallelRerandomizeTripletBuckets: 21251150 ns
ServerComputationApplyPermutationTripletBucket: 1992611 ns
HelperComputationAll: 108462520 ns
ServerComputationParallelRerandomizeTripletBuckets: 17133129 ns
ServerComputationApplyPermutationTripletBuckets: 1905670 ns
HelperComputationAll: 93087702 ns
ServerComputationParallelRerandomizeTripletBuckets: 17178089 ns
ServerComputationApplyPermutationTripletBuckets: 1920581 ns
HelperComputationAll: 92040207 ns
ServerComputationParallelRerandomizeTripletBuckets: 20469803 ns
ServerComputationApplyPermutationTripletBuckets: 1920623 ns
HelperComputationAll: 91997659 ns
ServerComputationParallelRerandomizeTripletBuckets: 19196790 ns
ServerComputationApplyPermutationTripletBuckets: 1898889 ns
HelperComputationAll: 92084043 ns
ServerComputationParallelRerandomizeTripletBuckets: 21994820 ns
ServerComputationApplyPermutationTripletBuckets: 1899670 ns
HelperComputationAll: 92829972 ns
ServerComputationParallelRerandomizeTripletBuckets: 20369150 ns
ServerComputationApplyPermutationTripletBuckets: 1902095 ns
HelperComputationAll: 93032992 ns
ServerComputationParallelRerandomizeTripletBuckets: 16962467 ns
ServerComputationApplyPermutationTripletBuckets: 1888286 ns
HelperComputationAll: 93272527 ns
ServerComputationParallelRerandomizeTripletBuckets: 21819052 ns
ServerComputationApplyPermutationTripletBuckets: 1934861 ns
HelperComputationAll: 92948143 ns
ServerComputationParallelRerandomizeTripletBuckets: 22899286 ns
ServerComputationApplyPermutationTripletBuckets: 1909440 ns
HelperComputationAll: 93029741 ns
ServerComputationParallelRerandomizeTripletBuckets: 19964810 ns
ServerComputationApplyPermutationTripletBuckets: 1909444 ns
HelperComputationAll: 93027884 ns
ServerComputationParallelRerandomizeTripletBuckets: 21047327 ns
ServerComputationApplyPermutationTripletBuckets: 1900301 ns
HelperComputationAll: 93193445 ns
ServerComputationParallelRerandomizeTripletBuckets: 19267738 ns
ServerComputationApplyPermutationTripletBuckets: 1948612 ns
HelperComputationAll: 93041807 ns
ServerComputationParallelRerandomizeTripletBuckets: 22741435 ns
ServerComputationApplyPermutationTripletBuckets: 1883103 ns
HelperComputationAll: 92798516 ns
ServerComputationParallelRerandomizeTripletBuckets: 17802372 ns
ServerComputationApplyPermutationTripletBuckets: 1900699 ns
HelperComputationAll: 92951360 ns
ServerComputationParallelRerandomizeTripletBuckets: 17259836 ns
