Initializing ElGamal Parameters...
Starting server...
Server started on port 8183
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1716 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 82959190 ns
ClientServerCommunicationSendRootBucketData: 400932267 ns
ServerComputationParallelRerandomizeTripletBuckets: 19395521 ns
ServerComputationApplyPermutationTripletBucket: 2485127 ns
HelperComputationAll: 123532929 ns
ServerComputationParallelRerandomizeTripletBuckets: 19103520 ns
ServerComputationApplyPermutationTripletBuckets: 2364998 ns
HelperComputationAll: 106887611 ns
ServerComputationParallelRerandomizeTripletBuckets: 19121387 ns
ServerComputationApplyPermutationTripletBuckets: 1960526 ns
HelperComputationAll: 117148480 ns
ServerComputationParallelRerandomizeTripletBuckets: 17683458 ns
ServerComputationApplyPermutationTripletBuckets: 1888546 ns
HelperComputationAll: 116493951 ns
ServerComputationParallelRerandomizeTripletBuckets: 17717887 ns
ServerComputationApplyPermutationTripletBuckets: 1961867 ns
HelperComputationAll: 91790433 ns
ServerComputationParallelRerandomizeTripletBuckets: 22971983 ns
ServerComputationApplyPermutationTripletBuckets: 2011125 ns
HelperComputationAll: 92408736 ns
ServerComputationParallelRerandomizeTripletBuckets: 21773439 ns
ServerComputationApplyPermutationTripletBuckets: 2177408 ns
HelperComputationAll: 92102179 ns
ServerComputationParallelRerandomizeTripletBuckets: 20662913 ns
ServerComputationApplyPermutationTripletBuckets: 1906033 ns
HelperComputationAll: 92795038 ns
ServerComputationParallelRerandomizeTripletBuckets: 21499307 ns
ServerComputationApplyPermutationTripletBuckets: 1893844 ns
HelperComputationAll: 92355352 ns
ServerComputationParallelRerandomizeTripletBuckets: 19828683 ns
ServerComputationApplyPermutationTripletBuckets: 1897152 ns
HelperComputationAll: 92016602 ns
ServerComputationParallelRerandomizeTripletBuckets: 19394371 ns
ServerComputationApplyPermutationTripletBuckets: 2166522 ns
HelperComputationAll: 91390067 ns
ServerComputationParallelRerandomizeTripletBuckets: 18758504 ns
ServerComputationApplyPermutationTripletBuckets: 1900210 ns
HelperComputationAll: 91613681 ns
ServerComputationParallelRerandomizeTripletBuckets: 18690601 ns
ServerComputationApplyPermutationTripletBuckets: 1871220 ns
HelperComputationAll: 92067733 ns
ServerComputationParallelRerandomizeTripletBuckets: 19546299 ns
ServerComputationApplyPermutationTripletBuckets: 1894938 ns
HelperComputationAll: 95118643 ns
ServerComputationParallelRerandomizeTripletBuckets: 18507583 ns
ServerComputationApplyPermutationTripletBuckets: 1895534 ns
HelperComputationAll: 91228721 ns
ServerComputationParallelRerandomizeTripletBuckets: 19127121 ns
ServerComputationApplyPermutationTripletBuckets: 1856095 ns
HelperComputationAll: 90969790 ns
ServerComputationParallelRerandomizeTripletBuckets: 19271652 ns
ServerComputationApplyPermutationTripletBuckets: 1847665 ns
HelperComputationAll: 90567738 ns
ServerComputationParallelRerandomizeTripletBuckets: 19006114 ns
ServerComputationApplyPermutationTripletBuckets: 1892711 ns
HelperComputationAll: 91895980 ns
ServerComputationParallelRerandomizeTripletBuckets: 21606494 ns
ServerComputationApplyPermutationTripletBuckets: 2131218 ns
HelperComputationAll: 91271727 ns
ServerComputationParallelRerandomizeTripletBuckets: 19129415 ns
ServerComputationApplyPermutationTripletBuckets: 1887032 ns
HelperComputationAll: 90561490 ns
ServerComputationParallelRerandomizeTripletBuckets: 20769062 ns
ServerComputationApplyPermutationTripletBuckets: 1875909 ns
HelperComputationAll: 91118869 ns
ServerComputationParallelRerandomizeTripletBuckets: 18013919 ns
ServerComputationApplyPermutationTripletBuckets: 1873527 ns
HelperComputationAll: 90579778 ns
DiskIOWriteBucketCiphertextsToDisk: 319716928 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1964 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 100481497 ns
ClientServerCommunicationSendRootBucketData: 345626184 ns
ServerComputationParallelRerandomizeTripletBuckets: 20418498 ns
ServerComputationApplyPermutationTripletBucket: 1889905 ns
HelperComputationAll: 108961012 ns
ServerComputationParallelRerandomizeTripletBuckets: 20863127 ns
ServerComputationApplyPermutationTripletBuckets: 1900092 ns
HelperComputationAll: 102031139 ns
ServerComputationParallelRerandomizeTripletBuckets: 21417578 ns
ServerComputationApplyPermutationTripletBuckets: 1900809 ns
HelperComputationAll: 90893323 ns
ServerComputationParallelRerandomizeTripletBuckets: 20177443 ns
ServerComputationApplyPermutationTripletBuckets: 1900914 ns
HelperComputationAll: 92296635 ns
ServerComputationParallelRerandomizeTripletBuckets: 22534325 ns
ServerComputationApplyPermutationTripletBuckets: 1893893 ns
HelperComputationAll: 91939230 ns
ServerComputationParallelRerandomizeTripletBuckets: 20981993 ns
ServerComputationApplyPermutationTripletBuckets: 1890113 ns
HelperComputationAll: 91949440 ns
ServerComputationParallelRerandomizeTripletBuckets: 19123989 ns
ServerComputationApplyPermutationTripletBuckets: 1886287 ns
HelperComputationAll: 91690181 ns
ServerComputationParallelRerandomizeTripletBuckets: 21004776 ns
ServerComputationApplyPermutationTripletBuckets: 1896768 ns
HelperComputationAll: 91624776 ns
ServerComputationParallelRerandomizeTripletBuckets: 19230424 ns
ServerComputationApplyPermutationTripletBuckets: 1892300 ns
HelperComputationAll: 94447363 ns
ServerComputationParallelRerandomizeTripletBuckets: 18788974 ns
ServerComputationApplyPermutationTripletBuckets: 1848242 ns
HelperComputationAll: 91834149 ns
ServerComputationParallelRerandomizeTripletBuckets: 17958850 ns
ServerComputationApplyPermutationTripletBuckets: 2208948 ns
HelperComputationAll: 91715251 ns
ServerComputationParallelRerandomizeTripletBuckets: 19727725 ns
ServerComputationApplyPermutationTripletBuckets: 1902685 ns
HelperComputationAll: 93333831 ns
ServerComputationParallelRerandomizeTripletBuckets: 18228034 ns
ServerComputationApplyPermutationTripletBuckets: 1878606 ns
HelperComputationAll: 93236977 ns
ServerComputationParallelRerandomizeTripletBuckets: 22106895 ns
ServerComputationApplyPermutationTripletBuckets: 1910428 ns
HelperComputationAll: 90587101 ns
ServerComputationParallelRerandomizeTripletBuckets: 23834693 ns
ServerComputationApplyPermutationTripletBuckets: 1897464 ns
HelperComputationAll: 91178228 ns
ServerComputationParallelRerandomizeTripletBuckets: 19742186 ns
ServerComputationApplyPermutationTripletBuckets: 1899234 ns
HelperComputationAll: 90985556 ns
ServerComputationParallelRerandomizeTripletBuckets: 19396025 ns
ServerComputationApplyPermutationTripletBuckets: 1907139 ns
HelperComputationAll: 91227658 ns
ServerComputationParallelRerandomizeTripletBuckets: 20414296 ns
ServerComputationApplyPermutationTripletBuckets: 1899947 ns
HelperComputationAll: 91378507 ns
ServerComputationParallelRerandomizeTripletBuckets: 19078627 ns
ServerComputationApplyPermutationTripletBuckets: 1924317 ns
HelperComputationAll: 91458430 ns
ServerComputationParallelRerandomizeTripletBuckets: 19127613 ns
ServerComputationApplyPermutationTripletBuckets: 1888201 ns
HelperComputationAll: 91911156 ns
ServerComputationParallelRerandomizeTripletBuckets: 18944381 ns
ServerComputationApplyPermutationTripletBuckets: 1904991 ns
HelperComputationAll: 91579176 ns
ServerComputationParallelRerandomizeTripletBuckets: 23075048 ns
ServerComputationApplyPermutationTripletBuckets: 1909130 ns
HelperComputationAll: 92253085 ns
DiskIOWriteBucketCiphertextsToDisk: 310845633 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1703 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 103487352 ns
ClientServerCommunicationSendRootBucketData: 242343293 ns
ServerComputationParallelRerandomizeTripletBuckets: 22083885 ns
ServerComputationApplyPermutationTripletBucket: 1906665 ns
HelperComputationAll: 108104767 ns
ServerComputationParallelRerandomizeTripletBuckets: 21900161 ns
ServerComputationApplyPermutationTripletBuckets: 1903136 ns
HelperComputationAll: 91451662 ns
ServerComputationParallelRerandomizeTripletBuckets: 21105612 ns
ServerComputationApplyPermutationTripletBuckets: 1903670 ns
HelperComputationAll: 96614755 ns
ServerComputationParallelRerandomizeTripletBuckets: 18301990 ns
ServerComputationApplyPermutationTripletBuckets: 1903758 ns
HelperComputationAll: 92750295 ns
ServerComputationParallelRerandomizeTripletBuckets: 21625281 ns
ServerComputationApplyPermutationTripletBuckets: 1908074 ns
HelperComputationAll: 93100270 ns
ServerComputationParallelRerandomizeTripletBuckets: 18496251 ns
ServerComputationApplyPermutationTripletBuckets: 1916697 ns
HelperComputationAll: 92946243 ns
ServerComputationParallelRerandomizeTripletBuckets: 18312214 ns
ServerComputationApplyPermutationTripletBuckets: 1907251 ns
HelperComputationAll: 92917562 ns
ServerComputationParallelRerandomizeTripletBuckets: 17012669 ns
ServerComputationApplyPermutationTripletBuckets: 1885859 ns
HelperComputationAll: 93448816 ns
ServerComputationParallelRerandomizeTripletBuckets: 19208760 ns
ServerComputationApplyPermutationTripletBuckets: 1901920 ns
HelperComputationAll: 94540320 ns
ServerComputationParallelRerandomizeTripletBuckets: 15238368 ns
ServerComputationApplyPermutationTripletBuckets: 1898267 ns
HelperComputationAll: 92967676 ns
ServerComputationParallelRerandomizeTripletBuckets: 20594707 ns
ServerComputationApplyPermutationTripletBuckets: 1908262 ns
HelperComputationAll: 98227528 ns
ServerComputationParallelRerandomizeTripletBuckets: 22369749 ns
ServerComputationApplyPermutationTripletBuckets: 1882200 ns
HelperComputationAll: 93582632 ns
ServerComputationParallelRerandomizeTripletBuckets: 18681565 ns
ServerComputationApplyPermutationTripletBuckets: 1920226 ns
HelperComputationAll: 92969017 ns
ServerComputationParallelRerandomizeTripletBuckets: 21583307 ns
ServerComputationApplyPermutationTripletBuckets: 1918683 ns
HelperComputationAll: 93580257 ns
ServerComputationParallelRerandomizeTripletBuckets: 20332088 ns
ServerComputationApplyPermutationTripletBuckets: 1900265 ns
HelperComputationAll: 92173622 ns
ServerComputationParallelRerandomizeTripletBuckets: 22157175 ns
ServerComputationApplyPermutationTripletBuckets: 1899668 ns
HelperComputationAll: 91949289 ns
ServerComputationParallelRerandomizeTripletBuckets: 19463056 ns
ServerComputationApplyPermutationTripletBuckets: 1914644 ns
HelperComputationAll: 91591446 ns
ServerComputationParallelRerandomizeTripletBuckets: 20829677 ns
ServerComputationApplyPermutationTripletBuckets: 1900876 ns
HelperComputationAll: 91485759 ns
ServerComputationParallelRerandomizeTripletBuckets: 22144118 ns
ServerComputationApplyPermutationTripletBuckets: 1894321 ns
HelperComputationAll: 118781014 ns
ServerComputationParallelRerandomizeTripletBuckets: 19191962 ns
ServerComputationApplyPermutationTripletBuckets: 1903180 ns
HelperComputationAll: 91899704 ns
ServerComputationParallelRerandomizeTripletBuckets: 21686350 ns
ServerComputationApplyPermutationTripletBuckets: 1901555 ns
HelperComputationAll: 92036590 ns
ServerComputationParallelRerandomizeTripletBuckets: 20723915 ns
ServerComputationApplyPermutationTripletBuckets: 1885103 ns
HelperComputationAll: 100592142 ns
DiskIOWriteBucketCiphertextsToDisk: 302521284 ns
Generating Evict Path
ServerComputationGenPathBucketIDsInReverseOrder: 1516 ns
DiskIOLoadBucketCiphertextsFromDiskBN: 99797934 ns
ClientServerCommunicationSendRootBucketData: 340068274 ns
ServerComputationParallelRerandomizeTripletBuckets: 19732284 ns
ServerComputationApplyPermutationTripletBucket: 1881130 ns
HelperComputationAll: 109837375 ns
ServerComputationParallelRerandomizeTripletBuckets: 17551063 ns
ServerComputationApplyPermutationTripletBuckets: 1839724 ns
HelperComputationAll: 92915695 ns
ServerComputationParallelRerandomizeTripletBuckets: 22041107 ns
ServerComputationApplyPermutationTripletBuckets: 1836691 ns
HelperComputationAll: 92881887 ns
ServerComputationParallelRerandomizeTripletBuckets: 20998703 ns
